OTUid	path	rank2	superkingdom	majorclade	kingdom	subkingdom	subeuk	division	subdivision	superphylum	phylum	subphylum	class	subclass	superorder	order	suborder	family	subfamily	genus
OTU_1606;size_32;	"root;"	root	root	root	root	root	root	root	root	root	root	root	root	root	root	root	root	root	root	root
OTU_9;size_8777;	"root;cellular organisms;"	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms
OTU_11;size_13502;	"root;cellular organisms;"	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms
OTU_20;size_5639;	"root;cellular organisms;"	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms
OTU_59;size_2162;	"root;cellular organisms;"	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms
OTU_89;size_665;	"root;cellular organisms;"	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms
OTU_95;size_2913;	"root;cellular organisms;"	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms
OTU_103;size_1069;	"root;cellular organisms;"	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms
OTU_157;size_266;	"root;cellular organisms;"	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms
OTU_181;size_810;	"root;cellular organisms;"	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms
OTU_192;size_162;	"root;cellular organisms;"	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms
OTU_200;size_300;	"root;cellular organisms;"	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms
OTU_204;size_184;	"root;cellular organisms;"	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms	cellular organisms
