OTUId	sample_S2-D_Psoil-01	sample_S2-P_Ind-10	sample_S2-P_Ind-09	sample_S2-P_Ind-07	sample_S2-P_Ind-06	sample_S2-P_Ind-05	sample_S2-P_Ind-04	sample_S2-P_Ind-03	sample_S2-P_Ind-02	sample_S2-P_Pmax-10	sample_S2-P_Pmax-09	sample_S2-P_Pmax-08	sample_S2-D_Pmax-02	sample_S2-P_Pmax-07	sample_S2-D_Psoil-07	sample_S2-D_Ind-04	sample_S2-D_Ind-01	sample_S2-D_Psoil-02	sample_S2-D_Psoil-03	sample_S2-P_Pmax-02	sample_S2-D_Pmax-10	sample_S2-P_Pmax-01	sample_S2-P_Psoil-09	sample_S2-D_Psoil-06	sample_S2-P_Psoil-06	sample_S2-D_Psoil-10	sample_S2-D_Pmax-01	sample_S2-D_Pmax-03	sample_S2-P_Psoil-02	sample_S2-P_Psoil-01	sample_S2-D_Pmax-05	sample_S2-P_PO4-07	sample_S2-D_Pmax-07	sample_S2-D_Pmax-09	sample_S2-D_Ind-02	sample_S2-D_Ind-03	sample_S2-D_PO4-06	sample_S2-D_PO4-05	sample_S2-D_PO4-04	sample_S2-D_Ind-06	sample_S2-D_Ind-05	sample_S2-D_PO4-02	sample_S2-D_PO4-01	sample_S2-P_PO4-06	sample_S2-D_Ind-10	sample_S2-P_PO4-05	sample_S2-D_Psoil-05	sample_S2-D_Psoil-08	sample_S2-D_Psoil-09	sample_S2-D_Pmax-06	sample_S2-P_PO4-04	sample_S2-P_Ind-08	sample_S2-P_Ind-01	sample_S2-P_Pmax-06	sample_S2-P_Pmax-05	sample_S2-P_Pmax-04	sample_S2-P_Pmax-03	sample_S2-D_Psoil-04	sample_S2-P_PO4-10	sample_S2-P_PO4-09	sample_S2-P_Psoil-10	sample_S2-P_Psoil-08	sample_S2-P_PO4-02	sample_S2-P_Psoil-07	sample_S2-P_Psoil-05	sample_S2-P_Psoil-04	sample_S2-P_PO4-01	sample_S2-P_Psoil-03	sample_S2-D_Pmax-04	sample_S2-P_PO4-08	sample_S2-D_Pmax-08	sample_S2-D_PO4-10	sample_S2-D_PO4-09	sample_S2-D_PO4-08	sample_S2-P_PO4-03	sample_S2-D_PO4-07	sample_S2-D_PO4-03	sample_S2-D_Ind-07	sample_S2-D_Ind-09	sample_S2-D_Ind-08
OTU_844;size=23;	4	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1	5	1	2	0	2	1	3	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	4	2	4	0	1	0	0	0	0	0	1	2	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_6;size=15733;	382	964	704	1117	1951	1533	969	1809	889	70	39	43	4	18	12	55	219	14	1	4	13	36	86	8	163	42	11	11	28	64	15	17	5	5	92	116	14	20	12	30	79	38	10	46	82	42	81	5	10	13	36	1150	1330	65	10	7	17	38	45	20	106	135	34	126	17	20	20	7	6	40	3	7	9	9	43	11	4	29	116	52
OTU_89;size=1459;	17	1	1	3	9	9	4	8	10	11	2	4	34	40	0	99	260	14	0	16	29	2	13	8	18	8	32	72	2	18	46	2	18	12	105	184	5	10	3	59	101	10	2	15	127	16	1	5	23	62	9	6	9	5	32	27	48	1	6	7	15	4	21	7	7	0	3	2	14	3	2	5	3	6	5	4	4	30	138	92
OTU_98;size=1255;	221	1	1	2	1	2	0	0	1	3	2	4	26	17	237	3	10	21	6	1	4	2	68	86	6	68	2	21	9	13	20	8	1	2	6	8	13	10	11	0	5	24	8	30	5	34	168	0	0	24	29	1	1	6	8	8	22	56	37	15	28	51	37	4	11	3	13	1	14	47	1	9	9	13	33	5	11	1	2	1
OTU_222;size=212;	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	25	0	0	0	0	0	0	0	0	63	1	2	2	0	1	0	0	0	9	15	1	2	0	5	17	5	2	0	14	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	5	0	3	1	3	17	9
OTU_30;size=2999;	726	10	4	6	19	9	7	11	5	15	5	4	41	11	136	4	14	0	1	13	8	4	26	158	198	428	6	56	0	0	52	52	0	4	9	7	6	13	8	3	7	16	4	175	5	116	0	1	0	42	135	7	14	9	7	11	23	0	138	93	0	18	156	132	46	21	62	0	15	138	0	5	8	8	100	8	12	3	9	2
OTU_320;size=197;	22	0	0	0	1	0	0	0	0	2	0	3	6	0	1	2	7	28	1	0	0	1	19	1	8	3	1	13	1	6	7	1	1	0	2	1	0	0	0	0	1	1	0	7	2	10	1	27	42	9	6	0	0	0	1	1	0	0	11	5	0	19	9	11	0	8	2	0	2	5	1	0	1	0	7	3	0	0	2	2
OTU_15;size=6562;	736	1	1	0	0	0	0	1	0	8	0	5	129	9	1473	16	49	0	0	15	4	2	0	3200	0	910	7	233	5	0	208	3	3	4	21	27	33	19	18	15	18	19	21	7	22	5	1	0	0	198	2	0	0	4	15	5	23	2	3	2	0	0	0	0	64	51	2	2	59	4	1	18	16	18	3	20	18	4	25	10
OTU_70;size=2667;	751	24	11	22	22	17	18	25	9	18	14	12	47	27	116	16	36	18	8	12	11	5	143	230	75	209	13	85	10	15	45	21	17	5	26	24	17	16	21	14	22	20	13	82	21	65	85	158	315	51	48	10	15	27	20	3	28	45	75	42	20	47	69	49	15	3	43	0	12	74	6	12	15	9	50	12	12	10	22	14
OTU_415;size=168;	83	0	0	0	0	0	0	0	0	0	0	0	0	0	12	3	18	0	0	0	0	0	0	7	0	20	0	12	0	0	7	0	0	2	4	9	4	3	1	6	6	0	2	0	4	0	18	0	3	2	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	3	0	1	7	4
OTU_707;size=34;	30	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	5	0	0	0	0	0	0	0	0	6	0	0	0	0	1	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	1	0	0	1	0	0	3	1
OTU_20;size=11838;	239	30	65	36	55	47	13	54	21	386	224	237	127	165	175	23	101	341	75	118	25	125	573	160	265	79	30	283	107	57	186	150	15	28	106	31	108	104	116	19	30	128	77	642	30	470	350	11	8	213	533	45	48	322	157	103	242	320	481	255	66	401	535	240	139	58	249	57	66	433	8	83	60	88	441	83	99	8	61	21
OTU_3111;size=9;	385	13	5	16	21	18	13	20	2	3	0	3	3	2	4	31	84	2	1	2	5	3	41	5	55	47	4	10	7	1	1	3	4	4	22	31	10	7	5	17	19	5	2	15	31	17	22	2	7	4	18	13	17	4	4	2	4	32	10	3	2	13	20	31	0	12	14	3	1	13	2	7	8	8	22	6	3	7	48	25
OTU_1332;size=22;	13	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	2	0	0	0	0	0	0	0	0	5	0	0	0	0	1	2	0	0	1	0	0	0	0	0	1	0	0	2	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
OTU_261;size=219;	82	0	0	0	0	2	0	2	0	1	0	0	6	1	2	0	6	9	0	0	1	2	1	4	0	102	1	6	2	3	6	0	0	0	3	4	0	0	0	2	2	2	1	0	2	0	6	3	2	2	0	0	0	1	0	1	1	15	0	0	5	0	0	5	1	1	0	12	3	0	0	2	0	0	4	0	1	0	1	1
OTU_386;size=142;	9	4	0	3	9	11	4	11	1	3	1	1	0	0	0	7	32	0	0	0	2	0	0	0	0	1	0	2	1	3	1	0	2	1	12	12	0	0	0	7	10	0	0	0	28	3	0	0	2	2	0	3	5	0	0	1	0	0	1	1	2	0	0	1	0	0	1	1	0	3	1	0	0	0	1	0	0	1	15	6
OTU_219;size=231;	90	0	2	1	0	1	0	0	0	1	1	0	11	0	6	2	6	7	8	1	2	1	8	20	0	19	3	17	3	3	15	1	1	2	2	3	0	3	0	2	3	0	2	0	2	2	8	6	14	10	1	1	1	0	0	0	3	4	3	0	2	4	11	0	0	0	7	3	3	1	0	0	0	2	1	0	0	1	5	3
OTU_398;size=154;	4	0	0	1	3	1	0	2	1	3	2	0	3	0	6	3	9	1	0	0	13	0	7	0	1	0	15	3	2	0	3	1	11	9	10	10	7	7	8	6	6	6	2	6	5	0	0	0	0	2	3	5	2	1	0	0	0	0	2	0	0	0	5	1	0	2	0	0	0	2	1	3	7	2	2	3	4	4	13	3
OTU_77;size=1256;	614	0	0	1	0	2	1	1	0	0	0	0	20	0	44	7	44	4	0	0	2	0	0	88	0	213	5	27	9	0	35	1	1	2	16	15	21	21	21	10	14	26	23	0	18	1	105	0	1	28	1	0	0	1	0	0	0	47	2	0	0	1	0	0	5	0	1	0	7	0	2	23	17	11	0	17	13	1	25	12
OTU_122;size=628;	192	0	1	1	0	0	0	0	0	8	1	4	5	2	18	3	6	4	1	0	2	5	40	72	25	85	1	11	1	63	3	5	0	2	2	7	1	0	1	5	4	13	2	8	8	6	46	0	0	8	2	2	3	4	0	0	2	77	6	4	54	30	2	20	2	0	2	0	0	0	1	3	1	0	5	0	2	1	7	1
OTU_1064;size=32;	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	6	3	4	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_285;size=539;	202	1	0	0	0	1	0	0	0	6	2	11	2	7	74	2	6	0	0	2	12	4	20	53	1	65	19	7	0	2	11	2	3	11	4	2	0	1	8	1	2	8	3	7	2	3	19	1	4	8	2	1	1	17	0	0	0	5	12	5	8	14	7	0	0	3	2	2	4	7	4	6	5	4	4	1	3	1	5	0
OTU_3;size=31772;	796	223	275	277	423	356	215	429	211	1268	624	717	714	728	338	352	1126	494	80	537	553	361	615	479	895	496	671	1298	449	291	872	146	387	447	668	639	115	132	132	190	415	186	76	548	415	444	1054	27	60	987	475	296	358	966	858	638	1584	366	402	222	367	324	466	675	458	319	242	637	364	405	255	89	78	74	396	78	116	128	634	313
OTU_127;size=619;	69	1	0	1	2	3	1	4	2	2	0	0	17	16	12	16	63	17	0	4	2	0	0	29	1	69	1	31	1	0	13	1	1	1	27	32	10	8	10	11	21	5	9	1	21	0	76	0	0	19	3	4	3	1	17	4	15	64	0	0	0	0	2	2	2	8	3	0	3	2	0	7	10	5	3	5	8	5	34	12
OTU_71;size=1243;	101	9	5	9	17	11	13	26	8	10	6	9	9	3	45	33	94	13	0	0	48	1	9	39	13	21	73	13	14	4	11	8	41	39	44	60	20	34	24	26	34	26	17	24	35	8	64	6	10	12	23	8	11	11	1	2	5	22	4	12	7	16	25	8	7	12	4	10	3	15	25	26	10	12	23	14	22	21	67	27
OTU_3310;size=2;	12	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	10	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1
OTU_32;size=7703;	448	6	7	10	20	13	7	20	8	37	19	13	29	27	126	13	48	54	6	8	6	12	189	113	76	192	12	64	23	43	39	45	3	5	26	12	23	24	35	5	20	49	28	141	18	125	224	36	58	49	155	11	16	33	31	14	42	154	174	68	23	118	163	48	21	17	83	9	12	123	8	16	16	27	127	23	21	5	34	10
OTU_180;size=360;	103	1	1	4	9	1	0	3	1	0	1	5	3	1	6	6	16	1	0	3	1	0	48	0	0	40	3	10	0	0	8	2	0	1	6	9	1	1	2	2	10	0	1	4	7	6	40	0	0	11	5	2	3	3	13	2	7	42	0	1	0	37	7	0	0	3	8	0	0	7	0	2	0	0	2	0	3	3	6	7
OTU_103;size=1577;	1818	0	1	0	0	1	0	0	0	0	0	0	8	0	0	0	0	0	0	0	2	0	0	0	0	231	0	15	1	0	14	1	1	0	1	1	6	3	2	1	1	4	4	0	1	0	0	0	0	13	0	1	1	1	0	0	5	0	0	0	0	0	0	0	0	0	1	0	4	0	0	9	1	3	0	1	5	0	0	1
OTU_59;size=1582;	174	2	0	1	0	0	1	0	1	0	0	0	102	0	203	24	56	0	0	0	26	0	0	94	0	39	41	176	7	0	91	5	18	29	15	28	14	29	28	9	22	16	19	0	23	0	2	85	143	121	0	0	1	0	0	0	0	2	0	0	0	0	0	0	1	0	1	0	49	0	13	12	20	11	0	6	29	3	26	33
OTU_2311;size=62;	139	16	7	18	25	24	3	24	10	23	15	9	16	12	111	15	106	7	4	5	74	7	30	62	17	49	99	23	14	18	25	6	66	72	28	40	25	32	18	18	31	33	21	21	39	19	94	22	40	34	8	16	18	20	11	7	18	32	17	10	22	17	12	9	8	3	12	3	6	11	32	31	20	27	25	17	26	13	52	25
OTU_570;size=161;	72	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	29	4	0	0	0	4	2	6	2	1	2	7	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	5	40	32	44	3	0	0	0	0	0	2	0	24	0	3	1	20	0	3	0	4	1	0	1	1	0	0	1	0	0	0	2	0	0	0
OTU_268;size=164;	92	4	1	3	9	7	5	12	2	5	0	0	0	0	5	0	0	0	0	0	0	2	0	0	3	0	1	0	1	9	0	1	0	2	0	0	0	0	0	0	0	4	0	6	0	3	0	0	0	0	4	2	9	2	0	0	2	0	5	2	2	2	3	2	0	0	3	16	1	12	0	0	0	0	9	0	0	0	0	0
OTU_226;size=346;	148	0	2	0	0	0	0	2	0	2	1	0	9	14	19	1	11	2	0	0	1	0	8	65	12	54	2	5	1	0	8	2	0	1	3	5	1	2	0	2	2	2	3	9	7	4	9	12	33	2	1	0	0	1	0	0	0	3	0	1	0	3	1	9	3	0	2	0	1	1	0	2	0	4	6	3	2	0	3	4
OTU_3127;size=17;	9	0	1	0	7	1	0	4	1	4	1	1	0	3	4	3	16	1	0	0	1	0	2	4	2	0	2	0	0	6	0	0	2	2	3	1	1	2	0	2	3	1	0	7	4	1	7	0	1	2	4	0	5	2	7	3	2	4	3	0	3	3	1	2	2	0	4	2	0	1	0	2	1	1	0	1	0	1	3	0
OTU_761;size=122;	24	1	2	1	2	3	1	1	2	3	0	6	2	0	2	3	8	2	0	3	1	0	2	1	3	5	0	5	2	3	6	1	0	0	0	5	1	0	0	0	1	2	0	0	2	0	4	2	1	2	6	0	5	4	0	1	1	3	2	4	7	3	4	0	2	3	1	2	2	1	0	0	0	0	6	0	2	0	4	3
OTU_157;size=390;	114	0	0	0	1	0	1	1	1	2	0	4	6	5	18	1	5	0	0	0	0	1	5	34	6	35	3	10	8	21	1	1	0	0	7	2	0	3	1	1	3	9	5	21	3	6	23	21	30	5	1	1	1	2	2	0	3	21	5	4	19	6	7	2	20	11	3	16	5	3	0	4	0	0	1	1	1	0	1	0
OTU_562;size=2421;	36	22	37	58	73	69	30	62	20	223	116	148	237	254	11	118	313	95	14	146	104	66	74	82	95	26	165	382	111	176	259	30	88	72	186	209	37	49	36	84	148	73	24	128	139	98	81	31	48	319	76	31	48	190	270	193	432	63	89	50	215	68	105	72	93	142	60	250	95	56	59	28	40	46	84	25	49	40	203	95
OTU_3435;size=4;	15	0	0	0	0	0	0	0	0	0	1	0	1	3	2	1	3	0	1	0	0	0	1	3	4	6	0	4	1	2	0	0	0	0	0	1	0	0	0	2	0	1	0	0	0	0	3	7	26	5	3	1	0	0	0	0	1	3	0	0	1	1	1	0	0	0	1	1	1	0	0	0	0	1	2	0	0	0	2	1
OTU_361;size=262;	56	0	1	0	0	1	0	1	0	3	2	2	6	2	2	0	2	1	0	0	0	1	0	2	2	21	4	2	4	4	9	0	0	0	3	7	5	5	6	1	3	7	8	9	1	4	19	41	86	4	7	0	0	4	3	2	3	21	13	1	7	0	10	4	3	1	6	0	1	3	0	9	4	2	1	2	3	0	2	3
OTU_162;size=408;	130	0	0	1	4	2	2	1	0	4	5	1	12	7	15	2	0	9	1	5	0	3	9	54	31	47	0	14	3	34	8	0	0	0	3	0	0	0	0	0	2	6	0	1	1	2	11	1	0	12	0	3	3	8	1	2	2	26	2	0	28	12	0	15	5	13	0	16	4	1	0	0	0	0	1	0	0	0	0	2
OTU_167;size=784;	52	3	0	1	4	0	2	2	0	8	2	1	2	0	49	9	45	3	0	0	34	4	18	29	9	33	50	17	25	11	7	3	27	34	10	17	15	9	9	4	13	18	14	5	19	13	7	51	92	8	6	2	5	7	4	0	6	9	1	1	10	15	9	1	5	6	2	11	7	0	23	7	10	14	5	12	11	3	21	10
OTU_186;size=343;	172	0	0	0	0	0	0	0	0	0	0	0	3	1	96	0	5	0	0	1	0	0	0	157	0	43	0	11	1	0	6	1	0	0	1	3	3	1	1	0	2	0	0	0	3	0	0	0	0	9	1	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	2	0	1	0	1	1	0	1	1	0	2	0
OTU_515;size=96;	20	0	0	0	1	0	0	1	0	1	1	1	3	0	17	2	2	0	0	1	1	0	0	10	0	13	2	3	2	3	3	0	1	2	4	4	3	4	7	1	0	5	2	3	2	0	11	1	1	3	1	0	0	0	0	0	3	17	0	0	6	0	2	0	0	0	0	0	1	0	1	9	7	5	0	3	10	0	4	0
OTU_671;size=39;	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	6	1	2	1	0	1	0	0	0	1	0	1	0	0	0	2	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_138;size=2141;	131	10	6	17	36	32	12	22	11	6	5	5	13	8	91	21	66	7	2	2	27	4	19	68	24	34	30	29	5	8	18	3	20	27	20	32	12	9	7	10	30	13	5	17	18	9	61	27	38	12	16	26	24	6	10	9	18	34	13	3	6	24	12	12	68	7	7	12	6	11	10	16	8	8	10	9	8	7	23	14
OTU_1;size=56471;	85	449	330	693	1054	848	510	1266	473	1588	795	1108	307	466	42	1228	3202	17	4	288	1731	462	72	41	92	37	2337	473	429	114	269	441	1397	1480	1627	2129	986	1089	965	751	1521	1185	726	1888	1274	1647	118	9	19	389	1601	674	822	1442	543	332	699	42	1513	888	100	52	1678	51	60	40	991	119	120	1466	788	703	739	724	1422	722	954	429	1823	1007
OTU_279;size=188;	25	1	2	0	6	2	3	3	1	0	0	0	1	0	3	6	14	1	1	0	8	0	2	11	1	11	4	4	0	1	3	0	9	8	6	5	1	1	0	3	8	3	0	2	7	1	17	16	39	0	2	0	4	0	0	1	0	16	0	0	0	2	0	1	0	0	0	0	1	4	1	0	4	2	0	0	3	0	3	3
OTU_106;size=2824;	434	3	15	8	9	11	10	15	7	75	35	43	40	13	124	12	28	157	31	10	10	28	153	119	76	143	6	102	39	8	69	45	3	3	20	9	81	77	70	2	9	93	64	234	9	205	417	0	0	97	182	7	9	81	17	24	29	313	124	123	26	72	191	46	40	14	128	15	37	160	5	59	58	71	170	56	50	7	12	7
OTU_152;size=511;	233	0	1	1	3	0	0	0	0	3	2	1	16	1	37	0	5	0	0	0	1	0	4	44	8	119	0	12	0	29	9	1	0	0	4	6	2	0	3	0	3	8	1	9	4	4	22	13	29	16	8	1	4	1	2	1	4	8	11	2	15	4	11	5	0	0	4	0	5	4	0	1	3	1	10	1	2	0	1	0
OTU_109;size=1663;	283	8	8	17	22	19	8	16	10	34	15	15	22	16	111	15	22	38	6	2	6	9	65	263	39	131	4	45	6	16	28	6	5	4	11	19	14	8	15	2	11	19	9	69	12	40	45	56	119	34	27	11	20	14	10	6	23	15	34	15	25	87	37	37	7	2	29	2	13	42	5	10	8	7	25	8	18	1	22	13
OTU_8;size=12218;	73	33	26	47	78	78	42	107	34	111	45	77	124	18	64	282	823	8	6	20	694	25	17	51	7	17	915	142	139	12	92	33	538	605	350	474	345	420	403	150	324	453	310	175	313	115	48	9	15	171	143	55	63	81	34	13	42	16	112	61	10	7	157	10	14	4	81	2	65	89	312	313	335	290	150	304	385	105	486	230
OTU_328;size=316;	32	1	2	2	2	3	0	3	4	9	3	2	13	6	6	1	9	2	2	2	3	4	13	9	11	4	4	27	5	7	7	3	4	1	10	7	6	9	12	2	7	13	0	4	6	8	23	9	25	10	4	4	2	8	5	1	3	27	8	5	16	15	7	6	1	3	7	12	3	1	1	9	11	2	7	3	2	0	7	1
OTU_236;size=203;	15	2	1	5	5	8	5	11	4	1	1	1	0	1	0	9	30	0	0	2	1	0	0	0	1	18	1	1	1	2	0	1	4	3	8	15	0	0	1	2	12	1	2	6	17	5	0	3	7	2	4	2	10	1	0	0	0	0	7	2	12	0	5	2	0	0	1	0	0	9	1	0	1	0	5	1	0	2	13	4
OTU_2830;size=247;	238	8	5	9	14	13	3	19	5	33	16	36	34	27	213	5	12	56	16	15	9	13	69	168	39	84	4	39	34	54	40	23	4	4	8	10	26	22	28	1	9	34	27	109	5	62	120	1	1	39	58	20	16	33	15	19	26	76	68	34	51	58	79	29	25	12	36	13	11	65	0	17	17	20	59	16	23	0	6	4
OTU_442;size=71;	7	0	0	0	0	0	0	0	0	0	0	0	4	0	35	1	2	0	0	0	4	0	0	3	0	0	4	6	2	0	6	0	1	3	0	0	1	0	0	1	1	0	1	0	1	0	10	1	1	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	2	2	1	1	0	0	0	0	0	0
OTU_93;size=882;	271	0	1	0	0	0	1	0	1	0	2	0	1	1	47	0	1	35	73	0	1	0	12	61	5	69	1	10	4	2	6	1	4	0	0	0	0	1	0	0	0	0	1	10	0	15	45	43	60	6	16	0	0	0	0	1	5	173	18	6	0	5	85	3	5	0	66	1	0	7	0	1	1	2	15	1	1	0	0	0
