OTUId	sample_S2-D_Psoil-01	sample_S2-P_Ind-10	sample_S2-P_Ind-09	sample_S2-P_Ind-07	sample_S2-P_Ind-06	sample_S2-P_Ind-05	sample_S2-P_Ind-04	sample_S2-P_Ind-03	sample_S2-P_Ind-02	sample_S2-P_Pmax-10	sample_S2-P_Pmax-09	sample_S2-P_Pmax-08	sample_S2-D_Pmax-02	sample_S2-P_Pmax-07	sample_S2-D_Psoil-07	sample_S2-D_Ind-04	sample_S2-D_Ind-01	sample_S2-D_Psoil-02	sample_S2-D_Psoil-03	sample_S2-P_Pmax-02	sample_S2-D_Pmax-10	sample_S2-P_Pmax-01	sample_S2-P_Psoil-09	sample_S2-D_Psoil-06	sample_S2-P_Psoil-06	sample_S2-D_Psoil-10	sample_S2-D_Pmax-01	sample_S2-D_Pmax-03	sample_S2-P_Psoil-02	sample_S2-P_Psoil-01	sample_S2-D_Pmax-05	sample_S2-P_PO4-07	sample_S2-D_Pmax-07	sample_S2-D_Pmax-09	sample_S2-D_Ind-02	sample_S2-D_Ind-03	sample_S2-D_PO4-06	sample_S2-D_PO4-05	sample_S2-D_PO4-04	sample_S2-D_Ind-06	sample_S2-D_Ind-05	sample_S2-D_PO4-02	sample_S2-D_PO4-01	sample_S2-P_PO4-06	sample_S2-D_Ind-10	sample_S2-P_PO4-05	sample_S2-D_Psoil-05	sample_S2-D_Psoil-08	sample_S2-D_Psoil-09	sample_S2-D_Pmax-06	sample_S2-P_PO4-04	sample_S2-P_Ind-08	sample_S2-P_Ind-01	sample_S2-P_Pmax-06	sample_S2-P_Pmax-05	sample_S2-P_Pmax-04	sample_S2-P_Pmax-03	sample_S2-D_Psoil-04	sample_S2-P_PO4-10	sample_S2-P_PO4-09	sample_S2-P_Psoil-10	sample_S2-P_Psoil-08	sample_S2-P_PO4-02	sample_S2-P_Psoil-07	sample_S2-P_Psoil-05	sample_S2-P_Psoil-04	sample_S2-P_PO4-01	sample_S2-P_Psoil-03	sample_S2-D_Pmax-04	sample_S2-P_PO4-08	sample_S2-D_Pmax-08	sample_S2-D_PO4-10	sample_S2-D_PO4-09	sample_S2-D_PO4-08	sample_S2-P_PO4-03	sample_S2-D_PO4-07	sample_S2-D_PO4-03	sample_S2-D_Ind-07	sample_S2-D_Ind-09	sample_S2-D_Ind-08
OTU_163;size=409;	97	2	0	3	7	0	0	3	2	2	1	3	6	0	35	1	3	1	0	6	3	0	6	213	2	6	6	3	8	1	4	0	0	3	1	1	6	5	8	1	1	6	3	1	0	8	18	1	12	3	5	1	2	0	0	2	4	14	5	3	3	3	2	4	7	1	1	3	1	2	1	5	2	5	1	0	3	1	4	2
OTU_329;size=126;	6	0	1	0	4	2	4	2	1	1	1	3	5	0	2	3	15	4	0	0	1	0	0	0	1	1	2	7	2	0	4	0	1	7	4	3	1	5	1	2	3	3	4	0	4	7	2	2	1	2	5	0	5	2	0	2	0	2	0	0	1	3	4	0	0	1	1	0	1	9	1	4	1	0	4	2	2	1	3	4
OTU_137;size=1332;	432	6	1	6	14	7	4	9	5	10	1	8	18	0	185	6	64	11	7	2	19	0	7	139	8	139	24	38	9	5	25	4	26	23	24	24	12	23	15	8	23	21	17	8	24	10	155	43	100	29	2	6	2	7	4	5	11	54	6	4	4	10	8	6	19	4	1	7	11	8	17	16	12	15	6	14	11	12	31	22
OTU_800;size=61;	1	0	1	2	2	4	0	2	3	2	1	3	0	1	0	2	6	0	0	0	3	2	0	0	0	0	1	0	1	0	1	1	2	0	1	3	1	3	0	2	4	4	0	0	3	2	0	0	1	1	0	0	4	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	1	3	3	0	2	0	1	1	5	5
OTU_1375;size=11;	4	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
OTU_255;size=196;	43	0	0	0	0	0	0	0	0	8	0	2	4	3	7	0	2	7	0	0	0	0	13	15	15	23	0	5	0	8	4	0	0	0	2	1	1	0	0	1	1	2	0	2	0	8	22	0	0	4	3	0	0	5	4	1	1	13	2	2	6	10	6	5	3	1	3	3	2	7	1	1	0	1	5	1	0	0	3	1
OTU_102;size=1473;	565	0	0	2	3	7	1	4	3	5	2	0	21	6	58	4	15	6	2	6	2	0	3	140	6	49	4	39	10	4	29	5	0	7	9	9	7	8	4	0	7	11	4	8	8	14	53	0	0	39	9	2	4	1	8	7	18	19	17	6	1	4	20	3	5	2	7	49	8	19	1	10	8	10	22	7	6	2	10	12
OTU_685;size=57;	13	0	0	0	0	0	0	0	0	6	0	0	0	0	1	0	2	2	0	0	0	0	5	7	6	1	0	2	5	5	2	0	0	0	0	1	0	0	0	0	0	2	0	7	0	0	5	0	0	1	1	0	1	0	3	0	2	5	1	1	12	5	0	9	2	2	0	5	0	1	0	0	0	0	0	0	0	0	0	1
OTU_25;size=3687;	1299	0	5	0	3	1	3	1	0	38	16	22	101	13	93	18	53	2	0	9	6	12	0	40	2	384	2	120	16	1	85	11	3	5	32	27	44	41	40	13	12	50	26	18	24	35	491	17	20	141	23	0	0	35	16	8	21	443	18	11	1	0	35	1	33	96	24	23	45	34	2	33	25	30	21	27	39	4	21	10
OTU_178;size=1075;	75	5	0	2	6	4	2	7	4	3	2	2	7	2	45	12	33	3	0	1	15	5	2	61	4	16	25	18	6	14	14	0	1	10	10	15	26	18	19	11	17	44	13	15	18	3	31	9	26	14	10	4	2	6	11	2	5	13	5	4	5	4	9	4	1	11	3	7	4	1	6	26	22	16	7	19	33	1	24	15
