OTUId	sample_S2-P_Ind-07	sample_S2-P_Ind-06	sample_S2-P_Ind-05	sample_S2-P_Ind-04	sample_S2-P_Pmax-10	sample_S2-P_Pmax-08	sample_S2-P_Pmax-05	sample_S2-P_Pmax-04	sample_S2-D_Ind-01	sample_S2-D_Psoil-04	sample_S2-P_Pmax-01	sample_S2-P_PO4-10	sample_S2-D_Pmax-10	sample_S2-P_PO4-09	sample_S2-D_Psoil-06	sample_S2-P_Psoil-09	sample_S2-P_Psoil-08	sample_S2-P_Psoil-06	sample_S2-D_Pmax-01	sample_S2-P_Psoil-04	sample_S2-P_Psoil-03	sample_S2-P_Psoil-02	sample_S2-P_Psoil-01	sample_S2-P_PO4-08	sample_S2-D_Pmax-09	sample_S2-D_Pmax-08	sample_S2-D_PO4-10	sample_S2-P_PO4-03	sample_S2-D_PO4-09	sample_S2-D_Ind-02	sample_S2-D_PO4-08	sample_S2-D_Ind-03	sample_S2-D_PO4-06	sample_S2-D_PO4-05	sample_S2-D_Ind-05	sample_S2-D_Ind-09	sample_S2-D_PO4-02	sample_S2-D_PO4-01	sample_S2-P_PO4-06	sample_S2-P_PO4-02	sample_S2-D_Psoil-01	sample_S2-D_Psoil-07	sample_S2-D_Psoil-08	sample_S2-D_Pmax-02	sample_S2-D_Pmax-06	sample_S2-P_PO4-04	sample_S2-P_Ind-10	sample_S2-P_Ind-09	sample_S2-P_Ind-08	sample_S2-P_Ind-03	sample_S2-P_Ind-02	sample_S2-P_Ind-01	sample_S2-P_Pmax-09	sample_S2-P_Pmax-07	sample_S2-P_Pmax-06	sample_S2-P_Pmax-03	sample_S2-P_Pmax-02	sample_S2-D_Psoil-03	sample_S2-D_Psoil-02	sample_S2-D_Psoil-05	sample_S2-P_Psoil-10	sample_S2-D_Psoil-09	sample_S2-P_Psoil-07	sample_S2-D_Psoil-10	sample_S2-P_PO4-01	sample_S2-P_Psoil-05	sample_S2-D_Pmax-05	sample_S2-D_Pmax-04	sample_S2-D_Pmax-03	sample_S2-D_Pmax-07	sample_S2-P_PO4-07	sample_S2-D_PO4-07	sample_S2-D_Ind-06	sample_S2-D_Ind-04	sample_S2-D_PO4-04	sample_S2-D_Ind-07	sample_S2-D_PO4-03	sample_S2-D_Ind-08	sample_S2-D_Ind-10	sample_S2-P_PO4-05
OTU_1479;size=10;	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	7	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	2	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	1	0	3	0	2	0	0	0	0	0	0	0	0	1	2	0	0	0	0	3	0
OTU_642;size=134;	1	1	3	1	4	4	0	5	9	4	3	1	0	0	1	0	1	0	1	0	0	0	5	2	1	0	2	5	1	0	1	2	3	1	5	1	1	1	1	4	2	4	5	3	1	4	1	0	2	0	3	2	5	5	1	7	2	6	3	0	3	3	5	3	0	5	0	0	2	2	1	2	3	2	1	1	0	4	5	3
OTU_159;size=521;	1	1	0	0	3	3	6	9	3	50	5	20	0	24	61	24	18	16	3	8	14	20	9	40	0	0	16	10	20	0	2	0	5	5	1	3	8	15	29	35	26	12	8	7	15	48	1	2	0	1	1	5	5	3	9	10	5	21	15	33	11	0	34	19	43	15	1	3	7	0	6	6	0	1	5	0	10	0	1	17
OTU_4084;size=4;	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
OTU_826;size=16;	1	1	3	0	1	0	0	2	1	1	0	1	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	2	2	1	2	2	0	0	1	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
OTU_2746;size=3;	1	0	0	0	1	0	0	2	0	0	1	1	0	1	0	0	0	0	0	1	1	1	3	3	0	0	1	2	0	1	0	0	0	1	0	0	0	0	2	5	2	0	0	0	0	3	0	0	0	0	0	0	2	0	1	1	0	1	0	1	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2
OTU_995;size=25;	1	0	0	1	0	0	0	2	0	0	1	1	0	0	1	2	0	0	0	0	3	0	2	2	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	2	0	1	1	3	1	0	0	0	0	0	1	0	0	1	0	1	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_604;size=24;	2	2	0	2	0	2	3	0	5	13	3	2	1	1	1	1	2	0	2	0	0	0	1	3	0	1	10	0	4	1	1	5	4	2	4	1	2	6	3	0	0	4	0	1	7	3	1	2	0	0	1	4	3	3	0	2	0	32	20	5	0	1	2	0	0	1	1	1	5	2	0	0	4	1	4	0	2	1	4	1
OTU_2913;size=2;	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_2499;size=3;	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
