OTUId	sample_S2-P_Ind-07	sample_S2-P_Ind-06	sample_S2-P_Ind-05	sample_S2-P_Ind-04	sample_S2-P_Pmax-10	sample_S2-P_Pmax-08	sample_S2-P_Pmax-05	sample_S2-P_Pmax-04	sample_S2-D_Ind-01	sample_S2-D_Psoil-04	sample_S2-P_Pmax-01	sample_S2-P_PO4-10	sample_S2-D_Pmax-10	sample_S2-P_PO4-09	sample_S2-D_Psoil-06	sample_S2-P_Psoil-09	sample_S2-P_Psoil-08	sample_S2-P_Psoil-06	sample_S2-D_Pmax-01	sample_S2-P_Psoil-04	sample_S2-P_Psoil-03	sample_S2-P_Psoil-02	sample_S2-P_Psoil-01	sample_S2-P_PO4-08	sample_S2-D_Pmax-09	sample_S2-D_Pmax-08	sample_S2-D_PO4-10	sample_S2-P_PO4-03	sample_S2-D_PO4-09	sample_S2-D_Ind-02	sample_S2-D_PO4-08	sample_S2-D_Ind-03	sample_S2-D_PO4-06	sample_S2-D_PO4-05	sample_S2-D_Ind-05	sample_S2-D_Ind-09	sample_S2-D_PO4-02	sample_S2-D_PO4-01	sample_S2-P_PO4-06	sample_S2-P_PO4-02	sample_S2-D_Psoil-01	sample_S2-D_Psoil-07	sample_S2-D_Psoil-08	sample_S2-D_Pmax-02	sample_S2-D_Pmax-06	sample_S2-P_PO4-04	sample_S2-P_Ind-10	sample_S2-P_Ind-09	sample_S2-P_Ind-08	sample_S2-P_Ind-03	sample_S2-P_Ind-02	sample_S2-P_Ind-01	sample_S2-P_Pmax-09	sample_S2-P_Pmax-07	sample_S2-P_Pmax-06	sample_S2-P_Pmax-03	sample_S2-P_Pmax-02	sample_S2-D_Psoil-03	sample_S2-D_Psoil-02	sample_S2-D_Psoil-05	sample_S2-P_Psoil-10	sample_S2-D_Psoil-09	sample_S2-P_Psoil-07	sample_S2-D_Psoil-10	sample_S2-P_PO4-01	sample_S2-P_Psoil-05	sample_S2-D_Pmax-05	sample_S2-D_Pmax-04	sample_S2-D_Pmax-03	sample_S2-D_Pmax-07	sample_S2-P_PO4-07	sample_S2-D_PO4-07	sample_S2-D_Ind-06	sample_S2-D_Ind-04	sample_S2-D_PO4-04	sample_S2-D_Ind-07	sample_S2-D_PO4-03	sample_S2-D_Ind-08	sample_S2-D_Ind-10	sample_S2-P_PO4-05
OTU_6;size=24103;	463	472	402	265	748	694	263	469	1038	292	879	180	439	113	154	198	250	151	725	71	159	138	303	251	333	365	128	182	125	227	68	396	91	80	508	561	76	220	293	285	363	206	105	305	524	521	357	276	370	301	184	434	735	892	358	324	309	253	155	308	344	208	461	230	219	193	113	231	316	453	43	84	473	549	77	364	98	344	547	205
OTU_2811;size=34;	21	16	10	6	8	8	12	21	14	17	12	15	3	9	23	15	10	6	3	4	5	5	13	11	4	1	6	15	7	2	2	4	8	4	9	7	6	11	9	24	25	30	13	12	6	36	14	10	9	11	9	17	12	12	8	8	8	18	7	21	34	31	46	13	11	4	5	4	10	4	2	4	5	5	8	2	3	5	3	13
OTU_4;size=72299;	639	724	503	362	248	200	198	329	2866	66	308	1123	895	599	96	37	39	19	1337	15	14	18	71	1169	664	657	2194	866	2027	780	954	1226	1462	1214	1485	1570	1638	3054	1402	1389	202	175	113	927	1561	2463	508	419	465	467	284	591	280	281	249	246	215	54	19	98	62	239	85	109	1265	63	373	764	1106	743	247	1463	1480	1514	1330	1073	1734	1079	1489	1182
OTU_10;size=10596;	203	255	185	140	173	115	65	132	113	150	182	489	6	280	87	56	56	53	10	24	87	47	110	493	7	6	167	349	173	22	87	57	118	94	54	61	116	279	622	598	88	74	43	44	71	1018	181	140	176	194	94	262	143	188	129	86	93	37	30	119	96	74	106	60	599	39	17	34	54	10	114	95	54	51	91	41	129	57	68	495
OTU_288;size=1234;	104	131	86	59	95	85	44	79	183	114	119	25	19	21	188	51	55	61	25	55	71	66	59	40	16	20	30	23	33	36	17	70	18	16	79	88	19	42	39	50	228	97	54	59	82	91	92	52	71	76	38	100	96	99	47	50	35	85	79	110	39	49	131	127	39	59	30	50	54	25	7	17	78	70	20	62	31	41	73	26
OTU_11;size=13502;	377	423	305	249	232	205	164	288	555	395	356	95	126	68	382	156	168	158	214	111	375	309	415	117	109	145	70	56	52	131	21	216	67	30	239	305	42	75	109	110	639	207	111	125	190	202	275	233	248	243	147	460	203	293	204	181	183	439	264	641	145	103	297	462	129	136	58	85	157	136	23	41	248	274	38	214	38	194	259	89
OTU_29;size=5574;	16	18	14	14	44	31	16	20	104	0	39	203	4	129	6	0	2	5	14	1	1	0	0	214	4	8	158	169	125	17	64	48	106	82	42	51	85	232	285	305	11	1	0	53	66	519	12	14	13	12	12	10	40	40	21	14	14	8	2	1	2	0	5	8	254	4	23	29	37	7	46	91	29	36	76	23	104	29	28	266
OTU_1153;size=16;	20	21	19	15	11	5	6	5	12	2	8	19	3	13	7	0	3	4	1	2	1	0	1	21	1	2	15	15	19	3	11	2	9	5	3	6	9	32	23	20	4	9	11	3	7	35	9	15	9	22	9	24	12	7	4	3	4	7	4	17	6	7	2	0	18	4	2	3	6	4	0	13	1	4	6	7	17	4	8	21
OTU_281;size=251;	1	1	0	2	3	0	4	8	1	9	4	7	1	3	7	6	4	1	1	2	5	5	11	6	0	0	3	3	2	0	1	1	2	1	0	1	0	1	4	3	14	5	3	0	0	8	4	1	0	0	2	1	0	0	8	9	4	14	8	15	3	9	17	10	10	6	0	0	1	0	0	1	1	0	0	0	0	1	1	8
OTU_3;size=66505;	274	382	304	217	200	228	175	362	551	87	331	1151	212	664	59	39	39	31	321	19	28	33	65	1273	176	177	765	950	739	146	375	215	485	422	270	315	520	1101	1546	1447	179	47	23	470	817	2689	268	203	231	238	165	322	215	248	291	229	262	65	38	120	38	20	71	111	1350	77	187	389	546	178	242	506	258	271	456	217	662	224	291	1224
OTU_36;size=8761;	122	118	83	55	100	75	85	188	256	70	152	248	126	135	40	15	22	35	187	9	34	31	24	263	70	84	282	171	252	65	152	98	189	146	137	141	221	460	286	307	65	39	27	187	282	517	88	56	79	76	50	68	112	129	131	106	114	80	48	59	18	47	19	47	276	42	69	128	208	96	55	197	116	117	179	110	236	96	127	228
OTU_757;size=6939;	332	336	292	188	422	329	380	594	330	226	517	939	151	558	102	77	60	86	221	35	144	79	108	1025	105	121	600	798	548	86	292	142	399	321	181	183	448	862	1267	1248	81	43	13	393	614	2289	292	225	202	247	190	264	373	498	453	445	419	237	136	238	77	8	131	59	1108	157	179	346	440	122	217	367	145	190	353	148	496	146	190	1008
OTU_85;size=2010;	74	67	53	34	58	54	10	19	344	17	70	13	229	12	22	16	29	5	345	9	8	4	27	23	171	175	99	14	98	74	40	124	83	61	137	198	62	162	32	34	20	119	65	50	70	51	57	39	53	46	26	49	70	65	17	21	17	17	6	18	31	136	19	14	27	9	24	37	40	187	4	59	141	168	57	110	91	95	140	21
OTU_99;size=2078;	89	131	107	52	45	41	15	26	160	56	44	5	61	3	114	29	37	26	87	10	17	17	55	8	39	34	10	5	16	31	6	55	9	8	62	79	5	14	9	8	137	212	118	44	92	17	83	72	76	82	40	99	28	40	7	16	20	30	21	57	40	251	57	95	7	14	19	33	45	47	1	14	62	61	6	47	10	50	68	4
OTU_1977;size=122;	55	69	61	35	31	20	9	22	8	2	36	47	3	43	0	0	2	4	3	1	5	4	3	80	0	0	8	51	4	2	4	6	3	4	8	5	6	10	84	105	8	0	0	2	6	153	43	30	28	36	16	62	27	33	15	16	11	0	0	0	6	1	4	5	87	8	1	4	4	0	10	3	2	3	3	2	4	7	1	76
OTU_4739;size=2;	21	19	14	9	6	10	2	1	26	9	10	39	9	23	4	0	1	0	13	0	0	0	0	58	12	8	58	37	40	6	24	14	27	23	14	9	28	67	62	60	3	7	2	10	2	111	9	19	19	12	11	15	7	12	2	3	0	5	4	4	3	0	2	3	77	1	2	4	2	13	16	30	12	20	28	12	33	8	11	51
OTU_146;size=573;	19	19	13	6	5	6	5	6	8	5	7	3	9	4	2	0	4	0	27	2	1	0	1	6	9	11	7	5	3	0	0	3	4	5	4	2	4	4	5	7	4	0	2	1	1	16	9	11	7	13	5	17	7	6	4	1	4	3	0	5	3	2	8	0	7	1	1	0	0	9	2	2	4	2	3	1	1	1	1	11
OTU_1621;size=5;	3	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_9;size=8777;	154	169	143	76	141	106	105	238	230	6	149	188	446	104	10	0	22	4	583	3	9	7	7	186	279	290	93	182	69	51	40	78	66	40	99	134	48	151	254	270	8	6	2	109	165	440	106	92	112	100	68	153	125	130	148	134	118	1	0	4	3	2	20	2	238	38	53	77	95	373	50	47	105	112	56	70	67	72	81	178
OTU_124;size=392;	17	11	11	9	23	12	9	13	4	17	19	3	4	2	20	5	8	13	2	9	36	26	32	4	1	0	1	2	1	0	0	2	1	1	3	3	1	3	6	9	25	9	2	3	10	8	10	10	5	9	2	13	6	12	13	15	13	4	3	17	15	0	14	8	3	9	2	5	3	0	0	0	0	2	2	1	1	2	2	5
OTU_140;size=669;	4	1	3	1	6	2	3	3	31	2	6	1	33	1	1	0	2	0	45	1	0	3	1	4	16	18	8	2	10	12	4	17	4	7	19	25	8	15	2	8	4	7	6	3	13	7	2	3	2	1	1	2	3	6	5	2	2	0	0	1	1	18	1	0	1	2	2	5	6	28	1	7	13	13	5	10	8	17	22	2
OTU_516;size=48;	6	4	4	3	7	6	9	13	3	3	9	8	1	6	1	0	0	0	0	0	1	0	12	9	0	0	4	5	1	2	0	2	4	0	3	2	1	3	15	6	1	5	3	2	2	11	3	4	3	3	2	7	6	6	5	8	2	3	2	4	2	9	1	1	5	0	1	1	1	1	3	1	0	0	1	0	3	2	2	6
OTU_242;size=312;	9	4	2	6	3	1	4	13	1	28	5	8	0	0	14	6	11	6	0	5	4	5	28	9	0	0	4	4	1	2	3	2	4	2	2	3	0	5	3	10	14	18	12	4	10	14	3	1	4	2	2	3	3	4	8	7	4	7	3	27	26	16	11	8	7	2	2	4	4	1	2	1	2	1	2	1	4	3	2	4
OTU_494;size=2676;	23	18	17	12	23	13	12	4	19	18	32	1	2	2	12	7	6	20	13	5	12	17	11	5	6	3	2	5	0	3	3	6	4	3	12	11	2	8	5	5	20	10	4	1	4	10	17	10	16	11	15	8	22	16	5	7	4	17	9	31	8	6	22	17	3	11	3	9	6	2	0	4	12	8	1	4	2	4	6	3
OTU_4582;size=20;	38	60	35	28	27	21	14	39	4	0	23	55	29	32	1	3	0	0	52	0	1	0	7	77	14	20	1	47	2	2	0	1	2	4	2	2	3	6	84	69	0	2	2	3	3	148	30	27	32	29	27	53	15	24	33	32	38	1	1	1	5	1	5	2	96	8	1	8	3	26	10	2	1	0	1	1	3	2	2	75
OTU_264;size=266;	5	2	3	2	10	8	1	2	1	3	10	15	2	15	1	3	0	4	0	0	1	0	6	15	1	1	5	10	5	0	0	0	2	4	1	1	3	10	23	18	1	3	2	0	0	29	1	1	2	1	1	5	2	7	2	1	4	2	0	1	7	10	1	0	24	1	0	0	0	0	7	2	0	1	3	0	5	1	1	16
OTU_15;size=9211;	168	213	163	115	582	440	77	111	276	193	671	104	73	46	64	134	120	176	97	68	244	169	389	124	51	44	33	70	24	42	5	80	24	19	108	135	13	59	138	126	163	44	34	96	136	224	134	93	145	141	104	210	546	596	82	69	87	113	59	193	336	47	228	107	117	89	32	52	87	44	20	19	118	106	18	51	21	67	130	87
OTU_2165;size=125;	275	298	260	176	414	310	89	136	307	226	441	66	59	32	347	279	244	239	94	127	314	242	256	49	55	57	34	39	21	52	14	120	19	17	139	167	18	44	69	34	494	174	90	99	197	105	207	134	221	214	131	375	392	423	107	99	94	147	86	273	182	64	487	315	71	156	43	80	107	68	8	23	120	113	16	99	28	103	136	39
OTU_416;size=50;	10	5	7	1	0	0	0	1	2	1	1	0	0	0	2	2	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	2	1	1	1	0	3	1	10	4	1	6	0	0	0	0	0	2	0	1	0	1	1	2	0	0	2	1	0	0	0	0	1	1	0	0	0	0	1	2
OTU_3364;size=36;	26	24	14	5	44	28	22	41	53	22	59	108	26	52	15	18	19	16	23	3	15	7	41	108	13	15	82	69	54	10	30	21	65	47	21	30	36	124	125	136	32	24	14	20	30	207	15	13	21	11	10	36	53	51	39	23	35	11	4	15	33	33	49	10	109	16	10	16	27	13	33	36	22	27	43	10	56	12	35	70
OTU_174;size=1330;	81	103	97	59	35	36	22	33	64	5	51	51	17	34	16	4	6	2	32	3	15	8	32	70	9	13	57	40	42	13	18	32	27	26	23	36	33	68	73	74	33	10	6	26	46	125	91	59	67	68	55	99	31	47	20	19	20	13	2	15	14	5	12	17	87	3	13	20	32	24	12	33	26	37	29	13	37	24	24	68
OTU_28;size=4730;	42	61	32	25	184	150	58	97	80	182	241	4	34	2	156	96	105	104	42	60	117	136	69	5	20	26	0	6	0	13	0	34	1	1	27	41	5	4	5	5	85	50	20	87	168	15	32	24	23	31	16	42	172	236	87	60	62	208	136	161	67	5	235	73	7	110	34	61	111	24	3	1	23	30	2	24	1	20	34	6
OTU_466;size=67;	1	1	3	3	3	3	2	4	1	3	2	8	0	4	4	1	3	0	0	0	1	1	3	13	0	0	2	2	4	1	0	0	1	2	1	0	1	3	7	8	1	5	0	0	2	8	5	0	1	1	2	1	1	6	1	4	4	1	0	4	3	0	2	0	9	3	0	0	1	0	3	2	0	1	2	1	0	0	1	3
OTU_212;size=327;	5	2	1	1	3	2	11	11	0	3	4	8	0	6	2	1	1	8	0	3	18	7	14	16	0	0	1	10	3	0	0	1	1	2	0	0	0	0	13	10	1	4	1	0	0	19	4	1	3	3	0	4	2	5	15	15	7	0	0	3	11	2	1	0	15	4	0	0	1	0	2	1	0	1	0	0	0	1	2	8
OTU_220;size=645;	3	13	8	4	4	1	11	21	3	11	8	12	0	6	15	8	4	4	0	2	14	11	20	9	0	2	8	6	9	1	5	2	6	1	2	4	7	10	18	20	18	27	11	1	3	23	2	4	4	6	1	5	8	15	12	10	13	7	2	13	16	17	6	12	15	6	0	1	2	0	5	5	0	4	5	2	5	1	4	8
OTU_56;size=3945;	43	44	36	22	49	51	95	167	115	222	86	12	10	5	307	55	66	58	25	105	123	92	36	9	10	9	18	6	18	29	10	48	12	10	68	71	9	30	16	9	162	129	82	64	92	27	33	28	37	33	18	79	45	57	144	130	121	367	203	241	4	2	137	141	22	66	24	35	54	13	3	12	57	53	16	35	11	48	65	10
OTU_76;size=3880;	65	80	61	45	42	40	29	54	72	75	75	70	11	41	40	37	37	35	13	13	64	29	86	67	8	12	40	46	26	8	15	28	27	14	20	35	15	46	62	76	56	85	50	23	43	120	55	40	54	48	44	62	51	78	57	45	39	46	32	70	86	100	57	33	61	21	12	18	37	8	17	20	25	28	24	15	23	26	26	54
OTU_702;size=32;	4	3	2	0	0	0	0	1	5	0	0	5	0	0	0	0	0	1	1	0	1	0	0	1	0	1	2	1	1	2	0	0	1	0	0	1	1	2	0	0	1	2	2	0	1	1	0	0	0	1	1	1	0	1	0	0	0	0	0	2	0	4	0	2	1	0	0	1	0	0	0	0	1	2	2	1	0	2	2	0
OTU_16;size=9026;	119	159	87	81	116	102	66	148	167	204	160	48	58	35	150	71	81	50	80	30	97	56	125	50	43	59	24	30	23	54	15	78	35	13	85	92	15	61	65	55	353	53	36	92	145	77	104	73	97	95	58	157	126	141	120	92	109	254	142	290	52	16	149	274	47	55	33	63	76	61	8	24	80	79	17	56	19	66	95	41
OTU_706;size=248;	34	33	39	18	58	46	5	12	21	8	69	21	3	9	6	6	9	57	9	8	72	46	70	13	0	4	7	14	10	5	2	4	8	3	12	7	7	13	15	18	6	23	20	1	11	29	22	19	24	28	24	37	48	65	15	13	13	5	2	4	37	22	22	5	15	10	2	3	2	0	1	4	8	6	4	8	6	4	11	11
OTU_2332;size=3;	1	2	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1090;size=39;	30	45	31	30	12	7	2	6	40	16	16	25	15	10	5	3	6	3	14	3	3	3	2	19	8	7	12	15	15	9	5	11	13	6	11	17	13	22	34	17	14	19	11	14	12	46	29	22	33	29	13	54	9	9	6	2	4	3	11	15	0	31	4	6	19	3	6	5	4	13	6	7	26	24	4	9	8	10	18	12
OTU_735;size=16;	73	71	57	36	27	23	18	28	21	2	22	55	29	43	8	2	0	3	35	2	1	1	2	86	19	29	26	50	17	7	9	17	18	16	21	16	11	32	80	62	6	2	1	33	54	123	39	32	56	46	28	109	19	29	29	23	29	4	1	4	0	2	4	2	89	7	15	24	21	25	15	13	14	15	7	9	15	11	19	52
OTU_1357;size=11;	2	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	0	0	0	0	4	1	0	1	2	0	1	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_181;size=810;	23	42	16	14	22	13	4	13	4	24	18	53	0	22	5	4	2	9	0	1	26	8	16	37	0	0	8	27	6	0	3	2	9	9	5	3	5	18	60	45	18	4	6	3	8	115	12	17	10	14	13	25	19	22	5	9	12	2	2	3	6	8	13	7	59	3	2	1	6	0	12	4	0	1	7	4	16	1	4	26
OTU_59;size=2162;	42	51	43	25	16	7	9	11	23	1	14	61	3	34	2	1	1	2	2	0	3	2	5	64	1	1	9	47	4	6	1	14	9	3	8	13	4	10	77	75	0	0	1	0	9	118	24	19	32	28	18	39	12	15	11	13	11	1	0	6	7	1	5	0	50	8	1	0	5	4	11	6	7	18	2	8	10	7	16	60
OTU_18;size=9282;	60	65	47	37	63	55	23	23	86	33	82	174	55	91	34	21	14	16	76	8	9	7	19	157	31	29	245	149	212	11	104	27	195	122	41	42	141	429	227	185	26	85	49	29	39	351	49	28	56	39	37	65	48	66	31	23	14	11	6	35	29	97	29	28	188	13	15	23	25	43	47	157	43	37	131	16	212	20	44	160
OTU_8;size=24234;	236	285	203	140	401	335	161	283	414	635	522	68	112	54	652	371	323	409	173	236	597	512	207	90	100	81	108	44	70	87	30	171	55	32	206	207	62	119	111	80	1172	301	183	280	565	162	175	97	160	150	95	277	410	505	199	186	180	424	260	500	188	117	665	705	96	311	115	251	359	103	19	43	183	191	48	138	59	160	232	62
OTU_873;size=143;	15	20	19	9	8	16	9	14	9	16	14	9	4	2	2	3	6	4	2	2	5	4	20	6	1	2	3	4	6	1	2	5	2	1	2	2	3	6	11	14	11	3	2	3	5	16	12	7	12	6	9	19	12	12	13	7	6	3	2	6	18	4	12	4	5	1	2	2	8	0	2	2	4	7	4	2	8	6	7	10
OTU_1567;size=606;	308	339	278	183	141	104	45	82	1093	24	164	434	609	269	35	11	17	11	888	7	8	5	27	498	415	435	1097	339	1067	272	546	481	730	685	518	616	826	1618	544	566	43	90	48	551	845	1036	265	193	229	239	134	359	107	133	75	48	57	16	16	36	22	105	12	22	509	18	226	388	583	529	87	827	534	528	731	372	909	428	591	474
OTU_530;size=1052;	84	90	43	43	114	92	38	90	133	246	160	22	69	17	256	145	149	163	86	99	145	169	57	16	46	51	25	19	22	28	12	52	20	15	67	96	13	41	18	28	212	110	46	34	74	27	54	47	47	57	33	108	98	125	47	50	55	226	122	292	53	41	275	153	25	106	22	32	38	55	3	21	57	78	12	50	17	53	71	15
OTU_627;size=49;	2	1	0	0	1	3	1	2	1	1	8	0	0	0	4	0	1	1	0	2	7	2	1	1	0	0	0	0	0	1	0	3	0	1	1	3	0	0	0	0	3	0	1	2	1	0	0	1	2	2	0	1	4	6	3	1	2	0	0	2	1	0	1	4	1	2	1	1	3	1	0	0	1	2	0	0	0	1	0	0
OTU_1;size=32230;	328	420	311	209	364	315	289	528	744	528	400	1278	246	839	207	92	128	77	402	28	95	80	177	1298	168	189	725	1070	666	197	358	316	519	420	382	392	545	1049	1656	1712	336	179	113	249	433	2511	306	181	259	238	139	387	350	449	402	332	320	352	190	496	148	150	241	153	1626	122	87	225	301	257	301	497	380	338	456	244	581	271	394	1512
OTU_13;size=6415;	25	30	34	22	60	38	50	89	118	331	54	38	32	23	374	169	143	155	53	74	105	105	88	30	26	33	82	32	42	28	22	42	54	35	38	50	39	94	59	47	391	496	282	27	74	83	21	17	31	27	10	45	39	63	60	41	55	575	378	621	43	272	319	290	46	96	19	35	36	36	5	40	53	46	26	28	58	29	60	49
OTU_30;size=2430;	45	66	36	20	10	15	14	30	105	93	15	8	11	14	56	28	29	25	27	14	20	18	66	15	11	17	21	19	10	15	10	27	18	15	42	51	13	23	23	26	116	264	170	22	39	45	33	24	29	31	16	57	10	13	23	19	20	38	26	77	73	368	60	33	31	20	10	19	24	15	1	8	45	38	16	33	16	30	58	19
OTU_113;size=383;	6	10	4	13	26	20	2	1	2	2	18	30	3	6	5	0	0	0	5	0	0	0	3	43	3	1	0	25	1	0	0	2	3	2	0	1	0	6	35	37	3	3	1	1	3	54	5	1	5	1	4	6	28	16	4	0	2	3	3	2	1	2	2	0	35	0	0	1	1	1	15	0	0	0	1	2	0	4	1	30
OTU_62;size=2176;	43	51	47	22	17	12	1	2	162	8	16	2	63	3	22	4	3	1	111	5	3	2	8	3	57	53	14	3	13	35	11	60	9	8	78	89	9	28	7	8	40	57	27	11	27	8	38	28	38	24	20	36	18	17	7	2	8	7	3	15	11	70	15	20	8	2	6	10	23	74	1	10	94	81	6	56	5	69	84	5
OTU_21;size=3531;	29	20	19	14	36	32	30	51	67	182	46	3	38	2	290	139	108	74	33	52	88	120	43	5	16	26	0	2	1	13	0	27	3	1	19	38	2	2	1	2	189	85	46	17	50	4	14	8	19	9	5	44	22	45	51	50	38	205	94	294	22	11	228	190	2	76	9	25	24	26	1	1	33	33	1	16	2	24	29	4
OTU_397;size=269;	11	17	9	3	4	3	5	7	33	6	8	0	9	1	5	4	4	5	9	0	1	3	6	8	7	6	6	7	5	5	3	7	7	4	8	13	8	15	2	4	15	41	11	3	3	12	8	11	12	10	3	8	1	8	5	8	5	7	0	11	5	40	13	8	14	2	2	3	4	1	0	3	5	9	3	5	5	7	15	9
OTU_12;size=7836;	79	92	73	45	109	84	179	325	84	186	141	277	12	163	62	47	66	95	21	35	170	116	195	287	17	8	80	238	69	13	36	29	56	32	39	52	73	110	355	334	103	73	50	64	108	646	82	41	63	62	39	105	95	134	242	202	220	130	84	246	207	46	123	60	311	107	28	47	91	14	55	68	28	40	52	28	66	29	44	320
OTU_621;size=560;	31	28	22	14	83	76	3	2	221	0	106	50	91	23	2	0	2	0	127	0	0	0	0	60	66	79	18	31	22	39	9	87	19	16	109	117	14	40	64	81	0	4	2	1	4	128	14	15	23	20	15	39	102	106	2	1	1	1	1	0	3	0	1	0	61	4	0	1	4	63	14	12	80	107	12	77	20	88	100	50
OTU_22;size=7568;	51	40	30	16	119	87	42	76	73	134	89	13	36	11	248	122	125	108	56	70	171	179	53	15	26	28	10	10	4	15	6	46	7	5	42	60	9	17	15	13	186	162	114	61	139	33	33	22	24	31	20	36	90	127	51	35	48	111	67	125	53	144	218	163	9	106	28	60	80	36	1	7	51	43	3	24	6	26	41	12
OTU_779;size=39;	7	10	8	5	11	9	13	5	11	14	8	11	1	4	4	1	6	9	0	1	12	4	7	5	1	0	4	4	3	1	2	3	6	4	5	4	0	11	6	6	5	8	13	2	3	8	7	3	9	6	5	16	6	11	13	8	6	4	4	17	4	14	7	4	12	6	1	1	0	1	1	2	2	3	3	2	4	1	3	8
OTU_46;size=2274;	29	36	30	20	104	99	4	7	150	5	114	112	17	57	5	1	5	0	11	7	0	5	5	115	12	7	28	48	23	22	5	48	31	14	61	72	18	37	104	64	2	3	0	3	12	128	21	13	37	37	17	46	85	142	3	6	2	10	2	0	10	4	19	2	109	3	0	1	5	8	26	13	55	54	17	44	25	54	51	50
OTU_23;size=4448;	35	58	43	29	51	33	31	67	205	77	73	55	103	36	37	13	13	8	165	4	10	7	14	49	68	94	123	40	99	35	50	77	61	57	69	102	84	160	56	64	72	188	106	51	82	90	40	29	46	26	27	65	41	63	55	39	35	40	21	44	8	262	25	39	49	17	26	38	56	97	7	80	81	81	57	65	84	78	90	40
OTU_1120;size=13;	3	2	1	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	2	0	1	0	0	1	0	1	0	0	0	1	0	0	2	2	0	0	0	0	1	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	2	0	0	1	1	0	0
OTU_801;size=61;	2	0	2	0	1	3	1	0	2	0	1	1	0	2	0	1	0	1	0	0	1	1	0	0	0	0	1	2	2	2	0	1	0	0	0	7	1	5	1	5	1	1	3	0	0	4	3	0	0	3	0	6	1	3	2	1	1	2	0	0	0	5	0	3	2	1	0	0	0	0	0	1	0	2	1	1	2	0	2	4
OTU_2298;size=5;	14	10	7	11	17	13	18	23	9	12	21	3	3	1	15	21	21	9	7	2	5	8	25	4	3	3	1	0	5	4	0	3	1	0	7	4	1	2	5	2	12	20	4	12	10	4	8	2	11	5	3	9	19	16	17	11	23	8	3	13	20	21	42	9	7	7	1	5	5	6	1	2	5	7	2	2	2	2	4	1
OTU_77;size=2091;	39	49	43	19	26	9	25	45	75	110	32	28	4	10	83	29	31	16	21	8	12	10	46	25	12	2	43	16	29	15	11	31	24	23	36	44	24	55	37	22	110	212	107	19	36	49	25	32	26	24	21	46	16	23	22	28	29	32	23	100	26	194	63	61	22	8	9	19	20	7	10	18	31	28	18	19	32	30	34	21
OTU_1177;size=15;	7	8	2	4	0	2	1	3	25	7	3	4	9	1	6	2	4	2	12	1	2	0	6	2	6	10	4	0	3	7	2	7	2	3	9	8	5	12	3	3	11	30	16	2	7	5	4	3	6	4	1	4	1	4	2	3	2	2	1	8	11	44	8	6	2	2	0	2	2	4	0	6	9	9	1	5	2	3	5	4
OTU_207;size=368;	5	11	5	1	21	18	9	28	8	5	17	4	1	1	4	4	4	16	2	9	44	28	37	5	0	1	0	0	0	0	0	0	1	0	2	3	0	1	9	2	11	4	2	2	4	5	8	4	8	2	2	17	15	26	16	13	22	7	5	5	28	1	8	1	7	12	1	2	2	0	1	0	2	1	0	2	1	1	1	1
OTU_1225;size=36;	3	5	1	0	4	5	1	4	7	9	5	1	2	0	11	4	2	2	1	4	3	2	1	1	2	4	1	1	1	2	1	3	1	0	1	6	1	5	0	2	6	28	13	1	9	2	5	1	4	6	2	4	4	2	3	4	2	8	4	8	4	43	5	6	2	6	4	3	4	2	0	2	5	2	1	2	1	2	2	0
OTU_14;size=6167;	38	43	26	25	57	48	33	72	138	326	64	17	82	13	273	117	147	119	149	70	134	111	129	26	62	84	48	13	29	26	21	37	32	32	57	66	27	68	14	27	220	253	169	36	68	42	25	17	23	32	10	35	38	61	45	44	45	316	191	519	76	214	272	139	13	106	20	26	42	89	3	36	44	53	20	46	28	28	57	21
OTU_508;size=71;	4	2	1	0	0	0	0	0	6	0	6	0	3	0	0	0	0	0	2	0	0	0	0	0	4	1	0	5	2	0	0	1	0	0	2	4	1	1	5	19	0	0	0	0	1	16	4	2	1	3	1	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	3	0	1	2	3	2	6
