OTUId	sample_S2-D_Psoil-01	sample_S2-P_Ind-10	sample_S2-P_Ind-09	sample_S2-P_Ind-07	sample_S2-P_Ind-06	sample_S2-P_Ind-05	sample_S2-P_Ind-04	sample_S2-P_Ind-03	sample_S2-P_Ind-02	sample_S2-P_Pmax-10	sample_S2-P_Pmax-09	sample_S2-P_Pmax-08	sample_S2-D_Pmax-02	sample_S2-P_Pmax-07	sample_S2-D_Psoil-07	sample_S2-D_Ind-04	sample_S2-D_Ind-01	sample_S2-D_Psoil-02	sample_S2-D_Psoil-03	sample_S2-P_Pmax-02	sample_S2-D_Pmax-10	sample_S2-P_Pmax-01	sample_S2-P_Psoil-09	sample_S2-D_Psoil-06	sample_S2-P_Psoil-06	sample_S2-D_Psoil-10	sample_S2-D_Pmax-01	sample_S2-D_Pmax-03	sample_S2-P_Psoil-02	sample_S2-P_Psoil-01	sample_S2-D_Pmax-05	sample_S2-P_PO4-07	sample_S2-D_Pmax-07	sample_S2-D_Pmax-09	sample_S2-D_Ind-02	sample_S2-D_Ind-03	sample_S2-D_PO4-06	sample_S2-D_PO4-05	sample_S2-D_PO4-04	sample_S2-D_Ind-06	sample_S2-D_Ind-05	sample_S2-D_PO4-02	sample_S2-D_PO4-01	sample_S2-P_PO4-06	sample_S2-D_Ind-10	sample_S2-P_PO4-05	sample_S2-D_Psoil-05	sample_S2-D_Psoil-08	sample_S2-D_Psoil-09	sample_S2-D_Pmax-06	sample_S2-P_PO4-04	sample_S2-P_Ind-08	sample_S2-P_Ind-01	sample_S2-P_Pmax-06	sample_S2-P_Pmax-05	sample_S2-P_Pmax-04	sample_S2-P_Pmax-03	sample_S2-D_Psoil-04	sample_S2-P_PO4-10	sample_S2-P_PO4-09	sample_S2-P_Psoil-10	sample_S2-P_Psoil-08	sample_S2-P_PO4-02	sample_S2-P_Psoil-07	sample_S2-P_Psoil-05	sample_S2-P_Psoil-04	sample_S2-P_PO4-01	sample_S2-P_Psoil-03	sample_S2-D_Pmax-04	sample_S2-P_PO4-08	sample_S2-D_Pmax-08	sample_S2-D_PO4-10	sample_S2-D_PO4-09	sample_S2-D_PO4-08	sample_S2-P_PO4-03	sample_S2-D_PO4-07	sample_S2-D_PO4-03	sample_S2-D_Ind-07	sample_S2-D_Ind-09	sample_S2-D_Ind-08
OTU_5246;size=60;	282	69	38	62	133	108	52	130	52	6	10	8	0	2	2	10	46	0	1	1	3	8	14	7	48	22	3	4	14	2	1	3	3	0	20	16	1	1	1	10	14	5	1	9	11	4	4	2	3	1	10	96	105	8	3	0	1	10	2	2	2	15	9	25	3	6	5	5	0	12	1	4	4	1	8	1	0	3	13	8
OTU_9743;size=2;	16	1	0	3	7	8	3	8	10	9	1	4	26	28	0	13	40	4	0	16	19	1	11	6	17	6	25	45	1	17	25	1	11	7	20	28	3	6	3	6	20	7	2	13	13	14	0	5	18	41	8	6	8	4	28	23	42	1	6	5	13	5	19	7	5	0	3	2	9	3	1	3	2	5	4	2	3	8	12	9
OTU_98;size=1692;	221	1	1	2	1	2	0	0	1	3	2	4	26	17	236	3	10	21	6	1	4	2	68	86	6	68	2	21	9	13	20	8	1	2	6	8	13	10	11	0	5	24	8	30	5	34	168	0	0	24	29	1	1	6	8	8	22	56	37	15	28	51	37	4	11	3	13	1	14	47	1	9	9	13	33	5	11	1	2	1
OTU_222;size=337;	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	25	0	0	0	0	0	0	0	0	63	1	2	2	0	1	0	0	0	9	15	1	2	0	5	17	5	2	0	14	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	5	0	3	1	3	17	9
OTU_30;size=3626;	726	10	4	6	19	9	7	11	5	15	5	4	41	11	136	4	14	0	1	13	8	4	26	158	198	427	6	56	0	0	52	52	0	4	9	7	6	13	8	3	7	16	4	175	5	116	0	1	0	42	135	7	14	9	7	11	23	0	138	93	0	18	156	132	46	21	62	0	15	138	0	5	8	8	100	8	12	3	9	2
OTU_320;size=334;	22	0	0	0	1	0	0	0	0	2	0	3	6	0	1	2	7	28	1	0	0	1	19	1	8	3	1	13	1	6	7	1	1	0	2	1	0	0	0	0	1	1	0	7	2	10	1	27	42	9	6	0	0	0	1	1	0	0	11	5	0	19	9	11	0	8	2	0	2	5	1	0	1	0	7	3	0	0	2	2
OTU_15;size=7817;	736	1	1	0	0	0	0	1	0	8	0	5	129	9	1473	16	49	0	0	15	4	2	0	3200	0	909	7	233	5	0	208	3	3	4	21	27	33	19	18	15	18	19	21	7	22	5	1	0	0	198	2	0	0	4	15	5	23	2	3	2	0	0	0	0	64	51	2	2	59	4	1	18	16	18	3	20	18	4	25	10
OTU_70;size=3773;	751	24	11	22	22	17	18	25	9	18	14	12	47	27	116	16	36	18	8	12	11	5	143	230	75	209	13	85	10	15	45	21	17	5	26	24	17	16	21	14	22	20	13	82	21	65	85	158	313	51	48	10	15	27	20	3	28	45	75	42	20	47	69	49	15	3	43	0	12	74	6	12	15	9	50	12	12	10	21	14
OTU_4390;size=45;	52	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	8	0	0	0	1	0	0	0	0	14	1	7	0	0	3	0	0	2	0	3	1	2	1	3	2	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	7	2
OTU_706;size=58;	30	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	5	0	0	0	0	0	0	0	0	6	0	0	0	0	1	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	1	0	0	1	0	0	3	1
