OTUId	sample_S2-D_Psoil-01	sample_S2-D_Psoil-02	sample_S2-D_Psoil-03	sample_S2-D_Psoil-04	sample_S2-D_Psoil-05	sample_S2-D_Psoil-07	sample_S2-D_Psoil-08	sample_S2-D_Psoil-09	sample_S2-D_Psoil-10	sample_S2-P_PO4-02	sample_S2-D_Pmax-01	sample_S2-D_Pmax-02	sample_S2-D_Pmax-04	sample_S2-D_Pmax-06	sample_S2-D_Pmax-08	sample_S2-D_Pmax-10	sample_S2-P_PO4-04	sample_S2-D_Ind-02	sample_S2-D_Ind-03	sample_S2-D_Ind-04	sample_S2-D_Ind-05	sample_S2-D_Ind-07	sample_S2-D_Ind-08	sample_S2-D_Ind-10	sample_S2-P_PO4-05	sample_S2-P_PO4-06	sample_S2-D_PO4-01	sample_S2-D_PO4-04	sample_S2-D_PO4-06	sample_S2-D_PO4-09	sample_S2-D_PO4-10	sample_S2-P_PO4-07	sample_S2-P_Psoil-04	sample_S2-P_Psoil-05	sample_S2-P_Psoil-09	sample_S2-P_Psoil-10	sample_S2-P_PO4-09	sample_S2-P_Ind-07	sample_S2-P_Ind-10	sample_S2-P_Pmax-02	sample_S2-P_Pmax-04	sample_S2-P_Pmax-05	sample_S2-P_Pmax-06	sample_S2-P_Pmax-07	sample_S2-P_Pmax-10	sample_S2-P_Ind-01	sample_S2-P_Ind-03	sample_S2-P_Ind-04	sample_S2-P_Ind-05	sample_S2-P_Psoil-06	sample_S2-P_Psoil-07	sample_S2-P_Psoil-08	sample_S2-P_PO4-10	sample_S2-P_Pmax-01	sample_S2-P_Pmax-03	sample_S2-P_Pmax-08	sample_S2-P_Pmax-09	sample_S2-P_Ind-02	sample_S2-P_Ind-06	sample_S2-P_Ind-08	sample_S2-P_Ind-09	sample_S2-P_Psoil-02	sample_S2-P_Psoil-03	sample_S2-D_Pmax-09	sample_S2-P_PO4-03	sample_S2-D_Ind-01	sample_S2-D_Ind-06	sample_S2-D_Ind-09	sample_S2-D_PO4-02	sample_S2-D_PO4-03	sample_S2-D_PO4-05	sample_S2-D_PO4-07	sample_S2-D_PO4-08	sample_S2-P_PO4-08	sample_S2-P_Psoil-01	sample_S2-D_Psoil-06	sample_S2-P_PO4-01	sample_S2-D_Pmax-03	sample_S2-D_Pmax-05	sample_S2-D_Pmax-07
OTU_216;size=1145;	123	48	66	6	112	87	14	10	4	27	1	16	9	15	3	2	15	0	0	0	0	1	0	4	5	5	9	3	1	5	1	1	75	5	0	34	2	0	0	9	1	4	8	0	2	0	0	0	1	4	3	1	8	0	9	2	2	0	0	0	0	34	54	1	12	2	2	1	9	5	3	3	2	4	47	11	4	9	23	1
OTU_74;size=8775;	673	208	324	464	293	510	12	14	465	175	9	55	58	91	4	9	212	27	41	52	26	51	18	35	99	87	103	97	17	39	61	25	107	53	109	149	47	30	23	33	20	23	27	89	65	33	17	19	18	86	219	144	80	92	36	52	67	12	19	13	24	90	109	6	87	41	55	49	86	63	33	40	37	109	260	342	102	83	134	13
OTU_18910;size=2;	254	61	86	1343	396	15	139	205	1826	642	543	71	54	91	343	388	742	57	69	92	31	48	32	66	310	394	191	188	53	115	119	97	45	167	193	227	188	4777	2984	204	180	163	264	376	392	4825	2937	3968	2557	65	230	85	275	735	280	271	345	2079	3386	2353	3195	11149	32	285	318	62	70	88	203	124	103	87	73	535	238	20	347	84	103	475
OTU_30;size=8397;	225	0	0	0	0	212	290	599	205	5	1727	183	118	157	626	822	0	24	50	69	30	44	26	47	1	2	9	7	4	9	5	1	3	1	0	38	0	0	0	22	12	10	28	6	8	0	0	0	0	3	0	0	2	38	33	11	21	0	0	1	0	4	12	448	0	68	77	55	5	12	5	2	5	1	37	184	0	172	230	894
OTU_97;size=6851;	118	83	85	183	144	100	73	93	116	38	7	38	20	34	5	3	53	13	16	28	11	16	10	13	14	18	20	25	1	13	8	11	259	93	31	24	9	25	11	39	19	28	60	27	32	23	23	25	15	112	112	38	17	58	62	15	22	8	14	17	15	80	213	3	32	23	12	11	9	11	4	7	5	56	34	91	21	35	45	4
OTU_330;size=513;	33	23	40	19	13	25	2	1	33	17	1	2	2	1	0	0	5	3	8	8	1	3	2	3	4	5	3	6	1	1	1	0	4	8	4	11	3	4	4	4	5	4	2	2	11	4	4	6	3	6	19	10	1	13	0	0	0	1	4	0	2	2	4	0	15	11	10	9	2	0	0	0	1	2	9	36	6	2	4	0
OTU_12592;size=1;	7	10	5	0	25	0	4	7	3	18	4	2	5	4	1	5	11	1	1	2	1	1	1	3	7	11	5	7	4	3	6	0	0	0	3	0	6	0	0	1	0	0	0	6	7	0	1	0	0	0	5	9	1	5	1	1	3	0	0	0	0	0	0	3	0	0	1	4	6	10	8	5	4	10	0	47	3	9	10	7
OTU_581;size=149;	7	2	7	12	4	3	2	11	5	8	0	2	0	0	1	0	1	1	2	4	1	2	0	3	0	0	0	0	2	2	0	1	0	0	2	5	2	1	1	0	0	1	0	3	0	3	4	2	2	0	1	0	0	2	0	0	0	2	1	3	2	0	0	0	0	3	1	5	0	0	0	1	2	1	7	3	1	0	3	1
OTU_24;size=22861;	1641	25	42	1189	812	177	26	61	886	132	28	236	189	355	10	15	124	64	82	96	34	56	44	63	65	58	304	281	43	140	185	15	478	67	1	3	33	7	4	46	29	46	68	115	104	12	6	12	10	53	4	3	55	221	84	64	93	2	6	6	6	62	460	9	75	103	84	88	298	186	164	152	136	102	3	103	76	313	461	20
OTU_17;size=47087;	99	5	11	4	3	52	18	39	107	7	2303	325	323	601	1439	1697	12	627	618	495	194	319	198	430	4	4	704	695	267	453	391	2	4	3	2	1	1	4	7	6	10	4	18	7	11	6	10	5	4	4	3	1	5	22	14	9	11	5	5	4	7	8	2	1293	3	511	411	545	693	447	373	305	255	6	4	15	3	465	694	1128
OTU_13876;size=15;	714	814	1196	433	785	511	53	64	561	1199	918	983	758	1473	548	611	1372	719	843	780	317	571	420	600	571	820	485	420	304	288	282	137	679	389	284	254	360	535	361	1999	1418	1321	2148	1679	1567	560	319	429	297	518	1334	275	505	3075	2259	1107	1453	250	436	276	341	422	692	427	697	881	836	842	483	309	215	285	191	938	345	496	718	1169	1607	712
OTU_93;size=4227;	265	3	11	19	31	346	91	170	18	81	17	44	40	51	9	9	49	21	25	27	15	16	9	19	24	34	57	68	3	38	56	6	55	18	0	11	9	0	0	21	9	9	27	7	5	0	0	1	0	9	4	16	13	6	16	1	0	0	2	1	0	6	96	5	20	21	22	39	44	51	22	30	16	29	2	69	21	58	67	18
OTU_7954;size=5;	1	0	0	0	0	2	1	3	1	3	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0
OTU_5882;size=63;	18	0	0	2	0	0	0	0	16	0	2	2	4	4	1	0	5	4	2	0	0	4	2	1	1	1	3	0	0	2	1	0	0	1	0	0	0	11	3	0	2	0	0	0	1	6	7	7	1	0	0	3	3	2	2	0	1	3	4	1	5	1	0	0	0	2	3	4	1	2	3	4	0	0	1	0	0	3	7	0
OTU_43;size=9217;	330	336	435	214	146	371	13	27	384	147	21	120	88	196	6	19	203	35	48	36	20	40	27	45	66	85	63	60	16	40	32	13	84	28	28	90	53	56	33	89	53	58	86	35	38	32	22	40	22	74	190	67	66	78	95	33	28	25	43	31	28	46	44	12	108	54	58	68	50	35	29	19	24	106	153	243	102	139	235	22
OTU_863;size=140;	9	1	1	0	0	3	3	2	0	10	0	0	1	2	0	0	1	0	0	0	2	0	0	1	6	8	6	3	1	1	1	0	6	0	1	7	1	0	2	2	1	0	2	1	2	0	0	0	1	0	6	5	4	0	1	1	1	0	0	1	0	0	2	0	8	0	0	1	2	2	2	0	0	8	1	1	0	3	3	0
OTU_110;size=1778;	209	50	42	65	42	216	0	0	123	11	0	29	31	38	2	3	9	2	5	5	3	4	6	10	2	1	2	7	2	0	0	0	49	13	18	39	1	10	3	22	14	22	24	10	15	9	4	4	0	10	61	11	4	40	24	5	9	6	6	2	4	6	57	0	7	3	11	6	3	1	0	0	5	0	95	135	2	25	60	4
OTU_19076;size=2;	406	222	363	365	406	512	50	122	354	540	47	94	64	142	13	28	741	33	57	52	25	49	26	30	281	270	180	207	33	102	150	87	166	76	90	24	160	72	43	103	77	74	113	143	124	59	40	51	20	71	168	116	204	275	119	107	118	32	53	42	48	94	162	7	330	39	64	60	179	151	77	100	89	442	81	378	310	101	161	27
OTU_2495;size=540;	170	0	0	0	0	296	0	0	61	0	0	14	15	14	0	2	2	3	4	5	1	4	2	0	1	0	10	9	3	6	6	0	1	3	1	0	0	1	0	0	0	0	0	1	0	2	0	0	0	1	2	0	0	0	1	2	0	0	3	0	0	0	0	0	0	2	6	2	2	4	6	3	2	1	0	219	3	20	36	3
OTU_67;size=7880;	103	84	78	86	75	316	529	854	105	19	87	122	85	191	31	46	37	161	209	200	54	151	95	153	11	6	24	37	37	23	4	3	34	18	26	67	5	63	31	52	31	34	61	99	70	39	32	47	17	26	40	18	4	140	75	56	89	15	40	31	32	28	23	15	17	221	243	206	19	15	16	27	7	21	149	162	10	145	167	57
OTU_509;size=777;	129	9	8	8	2	87	0	0	47	9	1	15	4	21	1	0	15	4	21	14	4	9	7	14	6	9	18	8	1	2	1	0	0	5	5	0	7	1	0	0	0	1	2	1	4	1	0	0	0	0	0	3	1	7	0	4	3	0	0	1	0	1	3	1	7	24	17	10	8	10	4	2	3	18	0	103	1	17	19	2
OTU_18911;size=775;	1028	1297	1805	1094	459	797	215	315	879	7905	1701	3695	3181	5489	945	1073	9211	6108	7495	8197	3481	5361	3952	6642	3910	4202	2367	2115	2330	1255	1383	1140	2416	653	324	1866	2234	3627	2113	8795	6203	5629	9070	4907	4804	3289	2149	2838	1924	1434	1267	553	3185	8633	9881	3135	4229	1521	2487	1732	2057	893	2068	833	4530	8310	8330	7884	1955	1402	1175	1267	936	6041	2392	1041	4452	4403	6827	1441
OTU_1201;size=54;	4	1	0	1	0	0	1	0	2	3	0	1	0	3	0	0	4	0	0	0	0	0	0	0	2	0	0	1	0	0	0	1	0	0	0	2	0	0	0	0	0	1	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	1	0	1	0	0	3	0	0	0	0	0	0	0	0	1	9	2	2	1	0	0
OTU_160;size=3455;	215	0	1	16	176	19	6	8	62	74	59	40	21	37	33	29	76	21	43	32	18	16	19	16	24	35	32	43	2	18	20	7	1	9	10	54	9	0	0	4	5	4	6	82	95	5	0	1	0	17	3	21	13	197	6	72	87	0	0	0	0	352	0	36	38	29	36	32	26	25	14	18	7	27	14	2	22	21	38	29
OTU_18160;size=7;	119	35	61	2	8	59	20	40	78	63	37	27	13	24	22	11	76	22	17	30	7	10	15	25	40	27	29	40	9	18	24	12	17	27	37	9	13	22	14	18	11	6	19	30	22	19	21	13	16	8	72	36	29	47	12	16	15	5	15	12	22	7	18	21	33	25	28	23	39	24	13	15	16	56	18	49	44	22	27	18
OTU_27;size=12494;	469	0	0	0	0	610	772	1594	875	5	373	639	413	789	188	203	20	169	239	301	160	197	149	209	5	1	19	15	18	8	9	1	14	12	1	1	3	0	0	1	3	1	3	11	11	1	2	1	0	101	0	2	5	19	5	6	10	1	0	2	0	101	8	180	2	304	341	336	8	15	9	3	10	2	0	176	7	600	1011	256
OTU_17224;size=1711;	226	188	303	257	241	253	41	88	218	600	97	446	344	632	44	52	641	225	269	236	116	174	103	182	276	213	111	116	73	74	82	85	200	166	125	67	211	261	188	2635	1801	1584	2574	3965	3785	231	167	208	123	74	249	103	228	6752	2857	2585	3319	146	176	120	169	133	190	40	371	240	207	230	116	89	70	84	43	452	53	237	314	490	771	65
OTU_15775;size=2325;	84	46	75	76	65	183	58	91	63	194	498	107	106	144	303	372	157	266	335	277	126	213	135	255	49	74	289	294	87	155	181	31	44	15	14	33	59	188	117	181	139	125	185	149	177	171	108	124	108	43	35	30	86	225	244	74	120	93	124	91	136	55	31	310	90	315	333	265	217	171	155	153	96	117	55	107	91	140	202	340
OTU_2418;size=32;	7	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	1	0
OTU_14129;size=7;	116	5	3	21	10	81	0	0	62	10	8	34	27	30	7	2	6	11	14	20	11	13	8	14	0	2	3	3	3	0	2	4	7	5	1	1	1	2	2	17	5	8	3	24	21	7	3	3	5	3	2	22	4	45	19	15	17	0	4	1	2	0	6	3	1	17	28	9	3	3	3	1	1	5	1	24	1	34	33	6
OTU_15280;size=3;	234	150	177	64	33	342	0	0	141	270	6	58	55	97	10	8	310	25	29	33	15	10	13	18	103	151	54	45	12	32	31	34	1089	446	60	56	69	29	16	198	154	150	275	145	141	25	14	14	14	351	178	103	100	280	242	93	137	10	17	5	13	153	957	7	166	22	35	29	45	20	25	27	20	204	104	259	137	89	107	7
OTU_484;size=286;	3	9	12	18	2	9	0	0	32	1	0	0	0	0	0	0	12	1	1	5	0	3	0	2	3	0	0	0	0	0	0	0	14	6	4	26	0	3	1	0	1	0	1	12	3	1	1	0	0	9	9	6	1	1	1	0	1	1	0	1	0	7	15	0	0	1	2	1	0	1	0	0	0	7	26	3	0	4	2	1
OTU_135;size=3610;	158	88	74	29	11	87	1	2	133	109	5	24	13	45	3	5	121	16	23	21	8	14	12	12	49	53	20	21	4	11	12	12	10	5	36	18	51	62	41	32	22	18	45	47	57	55	36	35	22	4	82	94	39	92	41	22	59	27	45	27	30	3	7	2	82	19	18	9	28	18	10	16	10	89	23	100	81	27	47	5
OTU_50;size=7604;	78	58	90	39	37	208	18	19	55	119	354	54	47	57	206	238	167	143	195	186	75	102	86	120	59	70	227	196	67	99	127	14	36	26	17	16	22	62	37	55	37	21	63	62	53	63	42	43	31	22	34	16	76	117	52	45	63	31	39	37	33	41	56	155	60	182	179	200	176	124	77	107	78	98	14	75	101	56	100	234
OTU_18883;size=124;	1369	415	588	74	49	113	389	649	344	1083	50	115	103	162	39	34	1268	508	385	423	171	273	237	366	558	849	475	418	139	295	304	168	137	919	159	347	360	3084	2034	218	161	158	221	219	246	3132	1890	2526	1621	49	542	216	482	441	308	183	282	1546	2139	1445	2062	57	105	29	652	467	441	471	475	304	279	241	199	926	945	43	646	151	198	44
OTU_1179;size=50;	22	0	0	0	0	0	0	0	12	0	0	1	2	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	2	0	0	0	1	3	0
OTU_15;size=28290;	49	22	21	5	16	48	4	18	26	154	2777	119	106	141	1733	1848	266	516	672	511	239	365	279	436	70	86	626	615	204	406	439	22	37	7	6	16	49	81	67	2	10	6	14	104	115	106	69	70	68	0	17	8	63	192	11	53	98	48	67	46	68	10	19	1425	115	529	564	594	603	450	335	302	255	124	11	48	98	121	218	2154
OTU_5554;size=84;	15	4	5	22	14	53	0	0	7	5	1	5	1	5	0	1	4	2	2	3	2	3	2	2	2	0	10	6	3	1	5	0	1	1	0	1	1	0	0	2	2	0	3	5	1	0	0	0	0	1	0	0	4	1	0	1	1	0	0	1	0	1	1	2	1	3	6	3	0	4	5	1	2	4	0	8	1	2	8	1
OTU_12402;size=12;	97	36	65	91	105	165	0	2	43	74	10	42	40	59	4	9	82	18	15	10	4	6	11	13	37	62	60	64	11	58	40	7	18	2	32	3	23	24	4	31	29	12	33	68	96	10	19	8	4	0	6	25	36	121	35	55	79	7	5	8	5	1	14	3	64	26	13	16	52	38	31	34	26	86	2	90	68	56	59	7
OTU_2279;size=925;	44	36	71	89	71	41	0	0	27	40	0	6	4	11	0	1	56	1	5	5	1	4	2	2	19	16	11	4	1	2	3	8	12	10	7	14	15	5	6	2	2	3	12	13	4	16	9	10	3	14	22	12	16	16	6	2	9	4	2	6	2	20	12	0	38	2	0	3	2	1	0	3	4	36	13	30	14	12	14	3
OTU_18143;size=1627;	50	35	61	22	33	59	23	29	21	32	56	36	25	54	50	51	49	47	60	49	24	40	28	51	26	13	71	59	13	38	30	6	19	17	22	8	11	25	18	54	20	27	37	58	59	20	18	27	13	16	19	7	18	88	44	22	39	10	25	8	13	11	23	42	23	57	58	64	40	38	29	36	26	35	20	89	38	39	54	52
OTU_228;size=4132;	81	27	39	67	40	71	98	137	80	53	13	21	27	44	5	6	73	14	15	15	8	9	10	9	24	24	17	19	8	11	17	9	35	9	15	54	21	35	24	49	31	24	53	40	33	29	18	26	18	17	36	19	23	83	48	29	33	18	20	19	16	19	25	4	45	28	18	22	11	21	7	21	7	40	81	106	31	34	48	2
OTU_1368;size=167;	4	1	2	52	40	5	0	0	0	7	1	2	3	1	2	0	16	3	3	2	1	2	3	1	1	3	1	8	1	12	2	1	2	0	1	0	4	1	1	2	0	0	4	4	1	0	1	2	2	1	1	0	9	3	0	3	4	1	0	0	0	4	9	1	7	3	1	5	13	12	3	3	2	9	1	15	2	3	5	0
OTU_17048;size=3;	68	7	9	2	0	54	0	0	182	10	0	5	4	12	0	1	44	1	2	2	1	2	2	2	6	5	6	3	0	8	4	3	0	0	0	54	4	1	0	4	6	4	3	3	4	1	0	4	1	0	0	0	6	9	0	1	1	0	0	1	1	0	0	1	6	0	0	2	10	1	4	4	5	17	48	15	25	5	12	4
OTU_404;size=581;	33	1	4	0	1	36	16	25	46	5	16	7	14	14	14	8	4	4	4	2	1	0	0	4	2	6	0	1	1	1	1	0	35	11	0	2	2	1	2	2	2	8	5	11	9	5	0	2	0	33	10	0	0	19	3	5	3	2	0	0	0	31	29	4	0	1	2	4	3	1	0	1	1	1	2	6	0	8	12	1
OTU_855;size=96;	3	0	0	1	3	1	0	3	0	1	0	0	1	1	0	0	2	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	3	0	0	1	0	5	5	2	2	2	4	6	0	3	2	6	4	0	0	0	1	1	2	0	0	7	3	3	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	2
OTU_7263;size=1217;	72	30	59	35	16	57	10	13	29	72	274	33	23	33	174	202	103	134	145	162	73	130	88	136	42	63	173	138	91	109	110	10	41	4	8	4	27	68	63	9	8	15	7	51	41	64	49	63	35	7	12	12	31	62	12	33	47	39	45	37	51	20	34	132	42	223	192	168	163	101	96	81	67	68	5	40	67	23	64	230
OTU_16672;size=1;	2	0	0	0	0	1	0	0	5	0	0	1	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_364;size=1065;	131	1	0	4	7	12	40	45	32	3	2	4	1	10	4	4	0	34	22	28	11	19	19	24	1	7	2	0	6	0	3	0	1	0	3	0	6	0	0	1	0	2	0	0	2	0	0	0	0	0	28	6	0	9	1	0	2	0	0	0	0	0	0	3	1	37	38	61	1	5	1	0	2	4	3	21	4	5	3	9
OTU_17871;size=1;	111	35	40	52	7	11	3	2	172	3	1	9	5	19	4	1	2	0	2	6	1	7	9	1	2	0	13	6	5	9	6	0	4	4	3	7	1	2	1	2	8	7	12	4	4	2	2	4	5	32	22	3	3	15	7	3	2	2	1	3	3	5	7	0	2	7	5	3	12	14	5	5	4	3	9	12	0	11	11	7
OTU_12285;size=16;	23	1	7	0	3	18	0	2	9	4	4	7	2	3	2	1	9	1	1	4	2	0	0	3	7	7	0	9	0	4	4	3	21	0	4	16	0	0	0	2	7	3	4	4	3	0	1	2	1	0	2	9	3	4	5	2	1	0	0	0	1	3	14	0	12	0	1	2	0	3	1	2	0	17	26	5	10	8	15	2
OTU_7178;size=29;	17	0	0	8	2	0	0	1	0	6	2	0	0	0	3	4	8	1	0	0	1	1	2	0	0	0	3	1	0	3	2	0	2	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	2	0	1	0	4	2	0	2	0	1	0	0	0	0	2	2	0	0	0	2	2	0	1	0	0	0	0	0	1	2	1
OTU_1021;size=86;	1	2	8	7	0	2	1	8	0	3	1	1	0	0	0	0	0	0	2	2	1	3	0	1	0	0	2	0	1	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	1	0	0	0	0	0	2	1	0	0	0	0	1	1	3	1	1	0	4	0	2	0	2	2	3	3	0	0	0	0	8	0	0	0	1	0
OTU_5717;size=23;	232	1626	2185	0	1	2	2	5	0	9	11	298	230	346	13	6	1	49	45	49	22	35	25	43	0	0	657	558	76	396	399	0	0	15	1	0	0	1	0	0	0	0	1	2	2	1	0	1	1	0	1	0	1	3	0	0	1	1	1	0	0	0	0	9	3	44	60	47	718	337	307	292	243	1	8	9	5	335	450	17
OTU_17445;size=721;	230	71	80	83	49	72	6	5	94	1431	98	427	355	603	56	78	1288	237	228	241	100	168	96	194	610	750	288	279	88	163	177	163	40	22	49	27	348	470	309	460	333	302	467	643	700	422	320	375	259	64	159	105	544	1173	511	455	515	235	318	225	278	29	25	49	847	245	209	225	255	176	162	129	100	942	56	79	729	579	794	71
