OTUId	sample_S2-D_Psoil-01	sample_S2-D_Psoil-02	sample_S2-D_Psoil-03	sample_S2-D_Psoil-04	sample_S2-D_Psoil-05	sample_S2-D_Psoil-07	sample_S2-D_Psoil-08	sample_S2-D_Psoil-09	sample_S2-D_Psoil-10	sample_S2-P_PO4-02	sample_S2-D_Pmax-01	sample_S2-D_Pmax-02	sample_S2-D_Pmax-04	sample_S2-D_Pmax-06	sample_S2-D_Pmax-08	sample_S2-D_Pmax-10	sample_S2-P_PO4-04	sample_S2-D_Ind-02	sample_S2-D_Ind-03	sample_S2-D_Ind-04	sample_S2-D_Ind-05	sample_S2-D_Ind-07	sample_S2-D_Ind-08	sample_S2-D_Ind-10	sample_S2-P_PO4-05	sample_S2-P_PO4-06	sample_S2-D_PO4-01	sample_S2-D_PO4-04	sample_S2-D_PO4-06	sample_S2-D_PO4-09	sample_S2-D_PO4-10	sample_S2-P_PO4-07	sample_S2-P_Psoil-04	sample_S2-P_Psoil-05	sample_S2-P_Psoil-09	sample_S2-P_Psoil-10	sample_S2-P_PO4-09	sample_S2-P_Ind-07	sample_S2-P_Ind-10	sample_S2-P_Pmax-02	sample_S2-P_Pmax-04	sample_S2-P_Pmax-05	sample_S2-P_Pmax-06	sample_S2-P_Pmax-07	sample_S2-P_Pmax-10	sample_S2-P_Ind-01	sample_S2-P_Ind-03	sample_S2-P_Ind-04	sample_S2-P_Ind-05	sample_S2-P_Psoil-06	sample_S2-P_Psoil-07	sample_S2-P_Psoil-08	sample_S2-P_PO4-10	sample_S2-P_Pmax-01	sample_S2-P_Pmax-03	sample_S2-P_Pmax-08	sample_S2-P_Pmax-09	sample_S2-P_Ind-02	sample_S2-P_Ind-06	sample_S2-P_Ind-08	sample_S2-P_Ind-09	sample_S2-P_Psoil-02	sample_S2-P_Psoil-03	sample_S2-D_Pmax-09	sample_S2-P_PO4-03	sample_S2-D_Ind-01	sample_S2-D_Ind-06	sample_S2-D_Ind-09	sample_S2-D_PO4-02	sample_S2-D_PO4-03	sample_S2-D_PO4-05	sample_S2-D_PO4-07	sample_S2-D_PO4-08	sample_S2-P_PO4-08	sample_S2-P_Psoil-01	sample_S2-D_Psoil-06	sample_S2-P_PO4-01	sample_S2-D_Pmax-03	sample_S2-D_Pmax-05	sample_S2-D_Pmax-07
OTU_7860;size=115;	1925	1	1	0	0	2	0	0	375	0	3	16	11	24	0	2	1	1	1	2	1	2	3	2	0	0	11	11	0	6	5	0	0	0	0	0	0	2	0	1	0	1	0	2	0	3	1	0	6	0	0	0	0	0	0	1	0	0	1	1	3	3	0	1	0	2	6	1	14	8	2	4	2	0	1	1	0	19	41	1
OTU_233;size=657;	363	1	1	0	0	0	0	0	2	12	0	1	2	1	0	0	42	0	0	0	0	0	0	0	14	9	4	3	0	2	2	0	0	0	15	0	3	0	0	10	8	4	11	2	0	0	0	3	0	0	0	63	4	8	13	4	4	0	0	0	0	0	0	0	12	0	0	0	3	1	2	1	1	20	0	0	5	0	1	0
OTU_195;size=993;	141	16	30	31	0	0	0	0	37	38	0	9	9	25	0	0	33	0	0	0	0	0	0	0	27	28	2	0	0	0	0	2	2	0	82	0	8	10	6	17	12	5	28	11	10	0	0	3	6	0	103	7	10	35	21	9	10	1	1	0	1	4	4	0	40	0	0	0	0	0	1	1	0	51	0	0	30	15	21	0
OTU_343;size=690;	6	0	2	2	3	0	0	3	2	4	23	0	4	5	10	7	6	19	21	19	15	16	11	30	1	0	15	8	10	1	2	1	4	0	1	1	0	5	1	0	1	0	0	1	0	2	2	1	1	0	0	3	2	2	0	1	1	0	3	1	0	0	0	12	1	30	28	34	13	3	6	8	1	1	0	10	3	0	4	17
OTU_36;size=19602;	625	123	237	452	308	1300	98	122	319	766	36	208	155	324	18	25	838	30	41	51	20	22	16	24	365	404	111	94	5	62	52	100	686	322	79	8	242	11	10	132	114	119	179	115	119	17	20	13	5	42	602	49	273	223	157	71	92	8	15	3	6	124	614	17	485	46	37	34	79	62	49	41	48	505	19	1171	388	213	369	30
OTU_11056;size=2995;	53	47	46	51	47	58	3	2	24	258	42	83	56	121	20	33	321	56	68	63	25	51	44	59	102	91	65	55	29	44	42	32	64	17	14	23	81	127	91	538	387	362	569	157	160	101	87	95	62	27	21	109	105	296	617	98	160	59	71	51	102	36	55	14	135	85	63	91	71	46	41	38	23	207	42	43	150	97	152	31
OTU_2433;size=11;	1	0	0	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
OTU_244;size=1581;	52	27	41	10	7	64	29	63	19	58	9	15	8	9	0	5	55	7	8	8	2	3	9	8	25	29	16	22	5	23	10	6	17	3	21	4	8	11	12	4	6	1	6	10	12	16	14	16	7	5	12	10	10	18	4	6	6	9	12	4	6	5	11	7	40	9	11	5	35	21	6	10	8	35	13	59	35	9	19	4
OTU_8632;size=21;	17	11	9	1	2	0	29	37	235	5	51	5	8	8	20	27	13	57	87	93	40	56	49	74	1	7	41	40	13	21	30	0	0	40	1	0	3	4	1	3	2	1	2	3	0	1	0	2	2	0	1	0	0	3	1	0	2	0	1	2	3	2	0	8	6	87	117	87	37	31	23	13	15	5	5	4	6	4	7	45
OTU_16370;size=1;	94	41	36	22	63	58	5	15	48	51	94	12	12	31	63	75	26	104	104	86	40	64	43	85	24	10	59	72	26	41	34	3	49	5	3	10	13	39	19	6	7	3	4	21	32	30	21	17	14	14	9	11	11	31	15	13	15	13	18	17	15	5	21	49	36	95	84	70	82	41	26	36	31	47	10	56	14	16	21	88
OTU_6567;size=107;	15	4	3	12	15	437	1	0	10	31	7	26	17	31	6	2	35	0	0	2	0	0	0	0	16	12	12	9	0	3	13	5	0	2	0	8	7	0	0	11	5	6	5	0	2	0	0	0	0	0	0	5	12	2	10	0	2	0	0	0	0	18	0	1	17	1	0	1	13	6	0	7	5	19	14	67	14	9	38	0
OTU_19;size=35533;	906	85	115	3	3	4777	9	18	1788	93	27	328	270	455	18	20	97	57	66	87	43	54	38	64	47	28	171	144	38	79	124	9	228	109	9	1	33	1	2	69	84	42	107	17	16	6	1	2	2	3	71	8	32	38	101	14	16	2	2	0	1	0	237	15	54	100	71	83	146	86	86	72	75	80	3	5284	58	393	559	17
