OTUId	sample_S2-D_Psoil-01	sample_S2-D_Psoil-02	sample_S2-D_Psoil-03	sample_S2-D_Psoil-04	sample_S2-D_Psoil-05	sample_S2-D_Psoil-07	sample_S2-D_Psoil-08	sample_S2-D_Psoil-09	sample_S2-D_Psoil-10	sample_S2-P_PO4-02	sample_S2-D_Pmax-01	sample_S2-D_Pmax-02	sample_S2-D_Pmax-04	sample_S2-D_Pmax-06	sample_S2-D_Pmax-08	sample_S2-D_Pmax-10	sample_S2-P_PO4-04	sample_S2-D_Ind-02	sample_S2-D_Ind-03	sample_S2-D_Ind-04	sample_S2-D_Ind-05	sample_S2-D_Ind-07	sample_S2-D_Ind-08	sample_S2-D_Ind-10	sample_S2-P_PO4-05	sample_S2-P_PO4-06	sample_S2-D_PO4-01	sample_S2-D_PO4-04	sample_S2-D_PO4-06	sample_S2-D_PO4-09	sample_S2-D_PO4-10	sample_S2-P_PO4-07	sample_S2-P_Psoil-04	sample_S2-P_Psoil-05	sample_S2-P_Psoil-09	sample_S2-P_Psoil-10	sample_S2-P_PO4-09	sample_S2-P_Ind-07	sample_S2-P_Ind-10	sample_S2-P_Pmax-02	sample_S2-P_Pmax-04	sample_S2-P_Pmax-05	sample_S2-P_Pmax-06	sample_S2-P_Pmax-07	sample_S2-P_Pmax-10	sample_S2-P_Ind-01	sample_S2-P_Ind-03	sample_S2-P_Ind-04	sample_S2-P_Ind-05	sample_S2-P_Psoil-06	sample_S2-P_Psoil-07	sample_S2-P_Psoil-08	sample_S2-P_PO4-10	sample_S2-P_Pmax-01	sample_S2-P_Pmax-03	sample_S2-P_Pmax-08	sample_S2-P_Pmax-09	sample_S2-P_Ind-02	sample_S2-P_Ind-06	sample_S2-P_Ind-08	sample_S2-P_Ind-09	sample_S2-P_Psoil-02	sample_S2-P_Psoil-03	sample_S2-D_Pmax-09	sample_S2-P_PO4-03	sample_S2-D_Ind-01	sample_S2-D_Ind-06	sample_S2-D_Ind-09	sample_S2-D_PO4-02	sample_S2-D_PO4-03	sample_S2-D_PO4-05	sample_S2-D_PO4-07	sample_S2-D_PO4-08	sample_S2-P_PO4-08	sample_S2-P_Psoil-01	sample_S2-D_Psoil-06	sample_S2-P_PO4-01	sample_S2-D_Pmax-03	sample_S2-D_Pmax-05	sample_S2-D_Pmax-07
OTU_1008;size=62;	8	2	7	2	0	5	0	1	1	0	0	5	2	0	0	0	3	0	1	0	0	0	2	1	1	0	5	1	1	1	2	0	1	1	1	4	1	3	0	1	0	1	0	3	0	0	0	3	3	7	3	6	4	0	0	1	2	0	3	0	0	0	3	0	1	2	1	2	0	5	2	0	1	9	5	4	3	2	5	0
OTU_118;size=1083;	8	4	4	2	13	10	3	4	7	22	9	7	2	11	5	5	16	124	138	113	49	76	62	120	8	8	19	36	21	28	8	4	2	0	0	0	4	5	2	4	1	1	4	8	13	8	5	6	1	0	0	1	4	17	6	11	11	1	5	0	8	0	8	6	20	165	129	142	15	16	7	14	9	4	4	13	4	8	12	7
OTU_826;size=61;	4	0	1	0	0	0	17	22	0	0	9	4	3	7	0	7	5	0	0	0	0	0	0	0	0	0	11	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	7	0	5	5	0	0	0	0	0	3	0	1	0	0	0	2	3	0	1	1	1	0	0	0	5	6	0
OTU_81;size=3044;	5	8	12	243	456	1	18	15	0	56	57	4	5	8	36	45	59	43	51	40	26	32	33	45	29	30	56	31	19	32	19	4	26	4	5	125	11	172	81	2	2	2	2	1	18	125	83	138	85	4	6	5	17	6	6	4	4	81	105	62	79	43	24	28	35	65	61	57	39	26	27	20	29	27	14	7	33	2	22	36
OTU_414;size=136;	6	18	17	1	1	0	2	0	6	43	0	0	2	4	0	0	16	2	2	5	3	3	1	6	13	2	6	6	0	1	3	2	4	0	0	0	3	2	5	1	1	1	0	4	0	1	1	1	3	0	15	1	6	0	2	0	0	1	2	2	3	0	2	0	9	1	1	7	2	4	3	1	2	17	0	0	18	0	5	0
OTU_2670;size=4;	1	1	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
OTU_472;size=145;	3	0	0	1	5	2	0	0	0	23	0	0	0	1	0	0	33	0	0	1	0	0	1	0	10	6	2	8	0	2	0	2	14	0	0	7	4	0	0	1	2	0	7	2	1	3	0	2	1	21	2	0	9	1	3	0	1	2	0	4	2	2	7	0	18	0	1	0	0	0	0	0	0	18	17	1	20	0	2	0
OTU_1031;size=116;	19	3	6	18	2	28	15	18	7	7	0	1	1	2	1	2	10	2	2	2	2	0	1	1	5	2	12	3	1	3	4	1	13	3	1	33	3	4	6	9	5	2	3	1	7	7	5	7	4	23	2	8	2	10	7	5	2	2	0	2	1	11	15	2	3	5	7	1	1	0	1	2	0	5	41	17	9	4	9	1
OTU_381;size=163;	3	10	6	17	3	12	6	6	4	27	0	9	1	0	0	0	27	0	2	0	1	2	0	0	2	6	3	8	0	1	6	3	11	1	2	13	0	0	0	4	5	3	1	1	1	0	1	4	1	7	9	2	5	2	3	1	2	1	1	0	4	7	3	0	10	0	0	1	1	7	1	1	1	19	24	1	3	7	5	0
OTU_145;size=946;	12	0	3	6	2	25	65	98	25	49	32	16	12	12	17	7	58	37	48	50	25	38	20	37	18	17	9	3	13	6	6	7	6	11	3	12	19	14	11	19	16	7	16	15	12	11	13	10	5	0	0	0	17	34	28	11	21	13	11	10	11	2	3	5	18	66	50	60	8	8	1	3	6	31	20	51	35	11	16	23
OTU_283;size=855;	10	4	16	3	5	11	11	11	23	17	38	7	7	17	20	20	35	21	21	13	8	18	6	12	26	34	23	40	3	10	19	5	5	3	0	5	11	3	1	7	6	5	9	16	23	1	1	2	1	1	16	1	17	36	15	18	24	1	1	1	0	2	6	17	31	28	20	27	18	11	13	10	8	27	2	17	26	11	31	32
OTU_280;size=311;	9	34	66	9	9	10	0	0	7	20	1	15	8	23	1	1	13	3	4	0	1	1	2	0	4	4	5	7	0	7	4	0	1	1	26	1	3	0	1	5	2	2	2	52	23	0	0	1	0	0	21	16	4	73	7	27	40	0	0	0	0	1	3	1	13	1	4	3	1	6	2	1	0	8	14	3	11	16	29	0
OTU_768;size=91;	18	4	10	0	0	0	4	4	9	18	0	5	2	1	0	0	3	0	0	0	0	1	0	0	3	3	0	0	0	2	0	2	0	0	0	27	11	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	1	11	0	0	0	0	0	0	0	0	14	10	0	13	3	3	1
OTU_796;size=48;	7	2	1	1	2	13	14	22	8	0	4	10	3	7	2	9	2	3	11	11	3	4	1	2	1	2	8	32	1	2	7	1	1	1	1	0	0	3	0	0	0	0	0	3	1	0	1	1	0	0	2	0	0	7	0	5	3	2	0	1	0	0	2	1	0	13	4	4	12	7	3	8	4	3	0	7	0	1	9	3
OTU_1566;size=24;	2	0	0	0	0	4	18	12	2	0	0	1	3	2	0	0	0	0	1	0	0	0	0	2	0	0	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	3	0	0
OTU_687;size=150;	5	3	2	17	18	14	0	0	5	25	0	3	3	11	0	0	2	4	2	0	0	3	1	4	0	2	6	4	1	5	1	0	12	2	1	3	3	1	2	1	1	7	7	3	1	1	0	2	3	16	5	1	1	7	4	3	3	1	1	0	0	7	14	0	5	0	2	2	6	9	4	1	0	4	6	7	1	3	8	2
OTU_156;size=813;	7	0	0	0	0	0	4	1	0	48	0	0	0	1	0	0	86	0	0	0	0	0	0	0	33	34	1	1	0	1	0	11	0	746	2	19	7	8	2	11	3	16	10	30	28	2	2	2	3	18	4	20	25	60	11	13	15	3	4	1	1	0	1	0	24	0	0	0	0	0	0	0	1	40	1	0	23	0	1	0
OTU_3955;size=8;	3	1	0	0	1	0	2	2	0	6	0	1	1	3	0	1	0	3	2	3	0	0	1	0	0	1	3	0	0	0	1	0	0	0	0	0	4	0	0	0	0	1	1	8	4	0	0	2	3	0	0	0	0	7	3	3	7	1	3	0	0	0	0	1	2	1	2	0	0	2	1	0	2	1	0	0	0	2	2	0
OTU_2863;size=4;	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_2966;size=6;	12	0	1	9	0	4	2	2	8	1	0	1	2	3	0	0	5	1	2	2	2	0	2	4	1	6	0	2	1	0	0	2	3	0	0	9	1	7	3	0	0	1	1	2	8	3	2	1	1	0	1	4	0	13	1	1	4	1	3	0	3	6	4	0	1	3	2	6	1	2	0	0	1	1	1	2	2	0	4	1
OTU_297;size=821;	13	18	22	60	54	20	6	17	15	40	5	10	6	8	2	2	69	4	11	12	0	4	5	6	5	11	12	8	1	7	2	9	104	24	7	184	6	31	14	27	32	19	37	41	66	15	14	15	13	130	54	12	13	90	41	48	33	11	16	8	10	57	58	0	12	8	7	3	4	7	5	1	5	21	425	32	18	4	17	0
OTU_967;size=42;	6	1	1	1	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	6	0	5	0	1	0	0	0	0	0	0	0	0	7	1	0	0	0	1	0	0	3	1	3	1	2	1	1	1	0	6	0	0	0	3	4	6	3	0	2	0	0	7	5	0	1	2	0	1	0	0	0	0	0	0	0	0	0	3	3	0
OTU_249;size=634;	16	3	15	14	7	13	13	20	7	23	6	35	21	48	3	9	14	31	19	20	9	15	8	20	17	14	31	35	0	10	14	3	19	8	3	18	8	21	4	16	11	8	13	28	31	9	10	6	11	21	16	13	9	31	24	31	16	5	4	2	7	6	17	3	22	18	32	21	21	11	6	19	15	32	35	13	16	23	39	13
OTU_640;size=66;	1	3	18	7	12	1	0	0	0	0	0	4	0	7	0	0	0	0	2	2	0	0	0	0	0	0	2	3	0	4	1	0	2	2	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	2	4	5	6	4	1	0	0	0	0	0	8	6	0
OTU_291;size=297;	2	0	0	4	2	8	66	110	0	1	4	13	10	12	9	8	0	3	9	5	5	8	3	5	0	0	23	19	2	10	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	1	8	15	6	25	17	11	16	5	0	0	3	0	16	19	11
OTU_690;size=66;	4	16	12	5	5	8	1	5	7	0	0	6	2	7	1	0	8	1	1	2	0	0	0	1	3	0	1	1	0	0	2	0	8	0	2	9	1	2	1	1	0	1	6	16	4	3	6	3	4	2	13	5	2	19	8	2	5	1	3	0	4	3	4	1	0	3	3	2	2	0	0	0	0	0	30	0	2	6	5	2
OTU_462;size=258;	43	3	4	13	9	17	0	0	31	3	0	2	2	8	0	1	14	1	3	0	0	0	1	0	3	5	1	7	0	1	2	0	13	3	2	23	3	19	8	0	4	6	0	3	8	11	13	12	12	1	6	1	12	11	10	3	7	9	16	9	11	3	18	1	2	1	3	0	3	0	1	1	1	0	36	22	4	6	13	3
OTU_871;size=40;	5	1	2	7	2	4	2	1	1	0	0	2	2	4	0	0	0	0	1	0	0	0	0	0	0	2	0	0	1	0	0	0	0	1	1	1	2	0	0	1	0	1	2	0	0	0	0	0	1	0	2	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	1	2	2	1	0	1	0	1	5	7	0	4	3	1
OTU_3159;size=3;	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	3	0	0	1	0	0	2	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU_805;size=49;	12	0	1	3	0	4	17	25	9	3	2	6	2	2	0	2	6	1	0	1	0	1	0	0	0	4	0	5	1	2	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	1	0	3	0	0	0	0	0	0	0	1	0	1	0	1	0	2	0	0	0	3	1	0	1	0	6	9	1
OTU_4634;size=2;	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0
OTU_32;size=5268;	1	2616	3617	1	2	1	2	2	1	0	1	13	8	19	0	0	0	0	1	2	0	2	3	1	0	0	196	155	14	87	94	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0	143	108	103	71	52	0	0	2	3	22	17	0
OTU_352;size=817;	47	20	15	39	41	121	41	67	23	91	1	10	8	24	1	0	150	3	2	3	2	2	3	8	49	56	17	22	5	15	15	6	24	13	20	36	18	9	1	4	2	6	12	2	5	8	6	1	1	6	35	20	30	5	12	7	16	4	7	2	7	9	30	0	54	0	3	4	29	12	16	9	4	74	57	28	64	10	19	2
OTU_899;size=39;	9	0	0	0	0	0	14	25	13	0	3	5	2	4	0	5	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	4	0	0	0	0	0	0	5	0	4	8	1
OTU_2052;size=19;	7	1	7	2	1	4	0	0	3	1	0	0	0	0	0	0	12	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	1	0	0	1	1	1	0	1	2	2	0	1	0	1	0	0	0	0	0	0	6	0	0	0	1	1	0	0	0	0	0	6	9	0	0	0	1	0
OTU_5101;size=2;	1	0	0	1	0	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	2	0
OTU_1203;size=48;	1	0	0	0	1	5	2	2	1	3	0	1	0	2	0	0	0	0	1	1	0	0	0	2	3	0	2	0	0	2	1	0	4	2	0	6	0	3	2	0	2	3	4	1	1	0	3	0	2	5	0	1	2	2	1	3	1	3	0	0	1	1	5	0	0	0	0	0	3	0	0	0	0	1	15	0	2	3	0	0
OTU_14;size=22860;	11	1	0	15	23	0	96	212	0	175	1453	79	64	93	809	866	219	5	7	9	1	4	4	3	93	41	2794	2889	233	1402	1723	25	0	1	0	2	45	1	0	6	3	1	8	0	3	0	0	3	2	1	6	0	69	5	3	1	2	0	2	1	1	0	0	638	108	7	9	8	2233	2085	1493	1408	1063	147	1023	31	83	82	122	1122
OTU_4961;size=2;	12	44	66	10	174	330	0	1	2	11	1	1	0	0	2	2	18	5	2	1	0	1	0	3	6	6	12	25	1	9	16	1	428	0	1	0	5	10	2	6	2	2	4	16	18	1	4	2	4	19	3	175	10	21	6	12	8	1	2	4	1	62	350	4	3	5	3	6	12	11	11	9	4	11	3	24	6	0	1	1
OTU_212;size=602;	8	1	0	0	0	3	10	39	2	0	35	49	25	47	37	33	12	20	34	27	7	15	19	21	0	0	53	24	8	22	29	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	1	0	5	0	0	0	0	1	0	21	0	22	31	28	51	22	19	20	14	1	0	7	0	61	57	26
OTU_1040;size=45;	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	1	0	0	0	0	0	0	1	0	7	0	0	0	2	1	1	3	0	2	0	0	0	0	0	3	0	1	7	3	2	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	3	16	1	3	0	1	0
OTU_671;size=56;	11	1	0	2	3	1	0	0	11	5	0	1	1	6	0	0	0	0	5	2	2	2	0	1	1	0	4	0	0	0	2	0	6	0	0	0	2	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	1	0	4	0	2	4	6	1	6	1	1	0	2	2	0	4	1	2	0	0
OTU_2900;size=43;	5	5	4	5	7	0	0	1	1	2	2	1	2	1	1	0	15	7	6	7	3	2	1	6	12	6	1	2	2	9	0	1	10	0	0	2	3	1	2	3	0	1	1	1	6	3	1	4	0	0	1	5	4	1	3	3	4	1	2	1	7	0	1	3	4	7	6	6	2	3	6	0	1	4	1	1	4	0	5	7
OTU_3214;size=6;	5	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0
OTU_1610;size=19;	8	5	5	20	2	8	6	14	1	0	0	1	2	1	0	0	8	1	6	0	0	0	0	1	3	3	5	0	1	1	2	0	5	0	3	11	3	1	2	3	3	1	3	3	0	1	1	2	2	7	2	2	0	0	1	0	3	0	5	1	0	8	6	0	2	1	2	4	4	2	0	3	0	4	21	9	1	1	6	0
OTU_1007;size=30;	3	0	0	2	0	0	6	3	0	4	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	5	1	1	0	0	0	3	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	1	0	0	0	0	2	10	0	4	3	0	0
OTU_4165;size=24;	7	3	10	24	17	20	1	6	3	33	3	3	2	3	4	7	10	11	9	12	4	4	2	9	6	5	7	14	4	5	5	2	14	1	6	0	1	23	12	6	3	3	3	4	7	17	13	16	10	10	5	2	6	9	4	6	12	6	10	7	11	8	11	3	5	9	11	5	5	9	1	5	0	9	0	3	9	6	6	4
OTU_138;size=859;	1	0	0	0	5	6	0	0	2	0	28	15	10	22	23	31	0	19	42	54	23	31	26	44	0	0	0	0	2	0	0	0	0	1	0	12	0	101	42	2	0	2	0	6	20	77	73	78	47	0	0	0	0	9	1	11	5	44	65	42	53	0	1	17	0	54	52	39	0	0	0	1	0	1	0	2	0	16	13	30
OTU_3941;size=2;	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_4614;size=2;	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
OTU_2023;size=12;	1	0	0	1	3	0	0	0	1	7	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
OTU_431;size=152;	17	18	24	5	1	3	2	0	1	38	0	0	1	4	1	1	21	0	0	0	0	0	0	0	5	3	5	2	0	1	1	2	0	0	0	2	10	0	0	4	0	6	6	0	1	0	0	0	1	1	20	1	13	2	5	0	2	0	0	0	0	0	4	0	11	0	0	0	0	5	2	1	0	19	15	1	26	2	1	0
OTU_3626;size=11;	6	0	1	8	10	10	22	31	0	14	0	0	0	1	0	0	5	0	1	0	0	0	1	0	0	8	8	2	1	2	2	0	4	1	0	10	0	2	2	1	0	0	2	0	3	2	0	4	0	4	2	0	7	2	0	1	1	2	4	0	0	4	0	1	3	3	4	1	6	4	1	1	0	4	12	13	4	2	4	2
OTU_4970;size=2;	3	2	0	0	0	1	3	19	0	0	3	1	0	2	1	0	0	2	1	0	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	4	0	1	0	0	0	0	1	0	2	0	0	0	1	1	0	0	0	3	0	0	1	6	2
OTU_2853;size=12;	1	0	0	0	0	0	1	5	0	0	0	2	0	1	0	0	2	0	1	1	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	5	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	2	0	1	0	0	0	2	0	0	0	0	0
OTU_2169;size=12;	1	2	5	16	8	0	0	0	2	0	0	3	1	4	1	0	0	0	0	0	0	0	0	1	0	2	1	1	1	0	1	0	6	3	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	5	0	0	1	0	1	0	0	0	2	0	1	0	0	2	0	0	1	0
OTU_1127;size=77;	6	0	1	5	6	0	1	3	8	0	0	0	1	3	0	0	7	0	0	0	1	0	0	2	1	0	0	0	0	0	1	0	4	1	0	4	0	2	0	0	3	3	1	1	0	0	1	0	0	0	0	0	0	3	0	1	2	0	0	1	0	0	8	1	0	0	0	0	0	0	0	0	0	1	0	7	0	1	0	0
OTU_370;size=286;	25	11	21	27	9	38	21	16	26	6	6	4	9	10	2	1	13	4	3	4	2	4	3	3	5	0	0	4	0	0	2	1	34	10	4	10	0	18	7	2	0	5	8	4	2	4	8	8	4	3	6	2	5	4	0	1	4	6	5	3	0	12	32	0	2	5	6	6	4	0	1	0	0	3	29	20	2	8	6	3
OTU_193;size=921;	14	79	123	100	64	59	10	21	21	6	11	85	31	75	6	5	8	5	9	5	6	8	2	9	2	0	2	0	0	1	1	0	82	21	9	84	4	3	1	18	23	18	17	22	30	1	1	4	2	34	21	10	0	45	31	10	24	1	1	1	1	40	78	6	4	13	11	13	1	4	1	1	0	7	128	22	0	55	81	3
OTU_167;size=682;	33	0	0	0	0	0	14	11	65	25	6	2	2	2	2	2	60	20	42	50	17	21	14	39	15	23	5	14	11	7	2	6	0	0	1	9	9	50	23	4	6	1	0	6	1	45	30	21	26	0	2	0	19	5	4	0	7	18	41	23	30	0	0	2	12	39	44	34	5	4	2	5	4	33	5	0	28	1	1	4
OTU_1749;size=50;	4	2	0	14	17	3	14	17	1	1	0	1	1	0	0	1	0	0	0	1	0	0	1	0	0	0	3	4	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	13	0	0	0	0	0	0	0	0	1	0	4	0	4	0	0	1	2	0	2	0	2	0	0	29	0	0	4	0
OTU_1711;size=12;	2	2	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
OTU_134;size=880;	1	0	0	11	29	8	196	314	0	0	51	33	25	41	26	28	0	15	9	26	10	13	6	15	0	0	60	35	14	27	37	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	21	26	18	49	33	33	34	23	0	0	15	0	38	46	51
OTU_4222;size=2;	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
OTU_1124;size=57;	1	3	0	1	3	2	3	1	2	2	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	2	0	0	1	0	1	7	3	1	8	0	1	1	1	1	2	1	5	0	2	1	2	0	23	0	0	0	9	1	0	1	2	3	1	1	5	9	2	5	0	0	0	0	0	0	0	0	0	24	0	0	0	0	1
OTU_738;size=65;	6	1	0	3	1	4	1	0	3	0	0	0	0	0	1	0	0	1	2	6	1	2	2	1	1	9	0	1	0	0	0	0	0	0	0	8	0	3	1	3	0	0	0	0	0	1	2	3	2	4	4	0	0	2	2	1	0	0	2	0	0	0	3	0	0	0	4	2	0	0	0	0	0	5	17	0	0	1	0	1
OTU_1731;size=26;	3	3	2	1	1	6	1	0	0	2	0	1	0	0	1	0	0	2	1	1	0	0	0	2	4	0	4	0	1	0	2	0	1	1	0	4	0	2	1	0	2	1	1	1	3	7	2	2	1	1	0	2	1	5	1	0	4	0	1	1	2	0	2	3	0	5	1	1	0	0	0	0	0	1	2	0	2	0	0	1
OTU_1389;size=18;	2	1	1	0	0	4	0	0	0	0	0	0	0	1	0	0	6	0	0	0	0	0	0	0	8	4	0	0	0	0	0	0	2	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	1	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
OTU_622;size=173;	7	4	0	25	17	25	17	16	2	3	2	2	1	1	2	4	10	3	8	9	2	4	4	2	3	2	4	13	1	4	14	0	8	5	0	6	0	2	3	0	2	0	0	0	0	4	2	2	3	6	3	5	1	3	0	1	2	0	1	0	2	5	18	0	5	5	3	4	10	9	5	2	3	3	13	11	5	1	3	1
OTU_323;size=247;	4	36	71	4	0	1	0	0	0	1	1	25	11	44	1	0	0	3	14	8	5	11	4	12	0	0	1	0	0	0	0	0	7	4	0	0	0	5	4	2	0	0	3	10	5	3	4	3	5	29	0	0	0	18	3	3	6	2	3	4	2	25	3	3	0	8	17	11	0	0	0	0	0	1	0	0	0	14	25	0
OTU_410;size=257;	1	0	0	0	0	0	2	0	64	0	1	1	0	3	0	0	0	2	2	0	0	0	0	1	0	0	10	9	1	6	3	0	146	60	1	7	1	0	0	5	2	2	7	1	2	0	0	0	0	0	0	0	1	3	5	0	1	0	0	0	0	0	112	0	0	1	3	2	6	5	8	2	6	1	0	12	0	3	1	1
OTU_1784;size=30;	7	0	3	1	0	1	3	13	4	5	0	1	0	2	0	0	0	0	2	0	1	4	0	0	2	0	2	1	0	1	0	0	2	0	0	0	0	1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	7	0	0	0	0	1	0	0	0	0	0	0	5	1	0	1	0	0	0	0	0	2	0	0	3	1	0
OTU_444;size=149;	4	0	0	0	0	0	0	0	0	0	29	18	13	20	12	14	0	14	11	12	6	10	9	9	0	0	1	1	6	3	2	0	0	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	18	18	20	2	0	2	2	3	0	0	0	0	24	32	13
OTU_1893;size=537;	8	5	9	3	16	18	4	7	19	126	21	1	5	4	10	16	122	15	9	4	9	3	6	9	70	54	23	13	1	12	20	23	12	7	7	10	41	3	3	8	6	3	7	10	15	2	2	7	5	4	18	2	76	10	11	10	11	2	7	3	5	1	7	7	55	9	6	16	15	18	9	1	8	76	27	20	78	7	5	11
