OTUId	sample_S2-D_Psoil-01	sample_S2-D_Psoil-02	sample_S2-D_Psoil-03	sample_S2-D_Psoil-04	sample_S2-D_Psoil-05	sample_S2-D_Psoil-07	sample_S2-D_Psoil-08	sample_S2-D_Psoil-09	sample_S2-D_Psoil-10	sample_S2-P_PO4-02	sample_S2-D_Pmax-01	sample_S2-D_Pmax-02	sample_S2-D_Pmax-04	sample_S2-D_Pmax-06	sample_S2-D_Pmax-08	sample_S2-D_Pmax-10	sample_S2-P_PO4-04	sample_S2-D_Ind-02	sample_S2-D_Ind-03	sample_S2-D_Ind-04	sample_S2-D_Ind-05	sample_S2-D_Ind-07	sample_S2-D_Ind-08	sample_S2-D_Ind-10	sample_S2-P_PO4-05	sample_S2-P_PO4-06	sample_S2-D_PO4-01	sample_S2-D_PO4-04	sample_S2-D_PO4-06	sample_S2-D_PO4-09	sample_S2-D_PO4-10	sample_S2-P_PO4-07	sample_S2-P_Psoil-04	sample_S2-P_Psoil-05	sample_S2-P_Psoil-09	sample_S2-P_Psoil-10	sample_S2-P_PO4-09	sample_S2-P_Ind-07	sample_S2-P_Ind-10	sample_S2-P_Pmax-02	sample_S2-P_Pmax-04	sample_S2-P_Pmax-05	sample_S2-P_Pmax-06	sample_S2-P_Pmax-07	sample_S2-P_Pmax-10	sample_S2-P_Ind-01	sample_S2-P_Ind-03	sample_S2-P_Ind-04	sample_S2-P_Ind-05	sample_S2-P_Psoil-06	sample_S2-P_Psoil-07	sample_S2-P_Psoil-08	sample_S2-P_PO4-10	sample_S2-P_Pmax-01	sample_S2-P_Pmax-03	sample_S2-P_Pmax-08	sample_S2-P_Pmax-09	sample_S2-P_Ind-02	sample_S2-P_Ind-06	sample_S2-P_Ind-08	sample_S2-P_Ind-09	sample_S2-P_Psoil-02	sample_S2-P_Psoil-03	sample_S2-D_Pmax-09	sample_S2-P_PO4-03	sample_S2-D_Ind-01	sample_S2-D_Ind-06	sample_S2-D_Ind-09	sample_S2-D_PO4-02	sample_S2-D_PO4-03	sample_S2-D_PO4-05	sample_S2-D_PO4-07	sample_S2-D_PO4-08	sample_S2-P_PO4-08	sample_S2-P_Psoil-01	sample_S2-D_Psoil-06	sample_S2-P_PO4-01	sample_S2-D_Pmax-03	sample_S2-D_Pmax-05	sample_S2-D_Pmax-07
OTU_6;size=83010;	817	507	791	889	853	1020	138	295	780	2669	210	689	534	1014	89	121	2945	338	420	389	186	283	169	285	1177	1187	526	566	149	311	387	379	510	310	289	135	799	488	355	3251	2197	1968	3171	4866	4630	443	318	418	233	195	578	283	987	8335	3549	3185	4067	271	347	246	315	304	498	84	1547	378	368	386	514	410	277	293	237	1937	196	790	1393	809	1202	129
OTU_2501;size=157;	176	2	1	0	2	312	1	1	71	0	1	16	16	17	1	2	2	4	5	5	1	4	3	0	2	2	10	10	3	6	6	1	2	3	2	1	0	1	0	0	0	0	0	1	0	3	0	0	0	1	2	2	1	1	1	2	0	0	4	0	0	0	0	0	1	2	6	2	3	4	7	4	2	1	0	236	4	21	40	3
OTU_67;size=5229;	220	91	92	113	94	412	562	908	174	30	104	165	123	229	39	49	46	178	243	235	74	175	111	176	19	9	30	42	43	23	9	8	42	23	34	69	7	67	34	75	36	45	68	133	98	52	38	53	25	30	45	39	11	199	100	73	107	18	47	33	37	29	30	21	28	243	289	230	23	23	20	27	10	29	151	192	12	189	221	64
OTU_509;size=314;	129	9	8	8	2	89	0	0	47	9	1	15	4	21	1	0	15	4	21	14	4	9	7	14	6	9	18	8	1	2	1	0	0	5	5	0	7	1	0	0	0	1	2	1	4	1	0	1	0	0	0	3	1	7	0	4	3	0	0	1	0	1	3	1	7	24	17	10	8	10	4	2	3	19	0	104	1	17	19	2
OTU_1;size=230596;	916	1296	1790	974	384	644	164	224	838	8100	1783	3792	3281	5595	972	1088	9373	6253	7703	8472	3601	5523	4063	6871	3967	4239	2397	2171	2414	1297	1408	1168	2243	633	307	1783	2265	3705	2165	8711	6100	5534	8910	4995	4857	3350	2203	2909	1956	1199	1138	508	3234	8705	9776	3173	4267	1547	2543	1771	2113	774	1930	854	4636	8582	8591	8148	2014	1445	1225	1308	947	6128	2277	962	4550	4488	6984	1473
OTU_1201;size=21;	4	1	0	1	0	0	1	0	2	3	0	1	0	3	0	0	4	0	0	0	0	0	0	0	2	0	0	1	0	0	0	1	0	0	0	2	0	0	0	0	0	1	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	1	0	1	0	0	3	0	0	0	0	0	0	0	0	3	9	2	2	1	1	0
OTU_160;size=2253;	233	0	1	100	177	43	10	13	68	95	66	46	28	47	36	39	109	65	91	90	41	46	53	61	29	46	39	46	5	20	22	9	1	9	11	57	19	0	0	6	6	6	7	87	105	5	0	1	0	22	3	22	22	217	6	74	91	0	0	1	0	386	0	41	51	89	113	84	28	29	18	21	8	52	14	22	38	23	51	39
OTU_20;size=24623;	339	514	648	169	177	266	236	356	294	784	655	194	150	281	461	507	901	788	829	745	301	529	375	617	355	434	463	517	239	297	332	100	489	531	300	70	240	580	374	248	184	177	244	380	355	554	366	455	294	84	654	361	287	651	303	211	287	279	387	265	406	104	406	376	438	859	816	802	491	324	239	278	188	602	123	207	480	225	312	550
OTU_27;size=8749;	472	0	0	0	0	611	776	1607	881	5	374	645	415	791	188	203	20	171	240	303	160	199	151	210	5	1	20	15	18	8	9	1	14	12	1	1	4	0	0	1	3	1	3	11	11	1	2	1	0	101	0	2	5	19	5	6	10	1	0	2	0	102	8	180	2	305	343	338	8	15	10	3	10	2	0	179	7	606	1017	258
OTU_8;size=28563;	1553	41	83	1047	104	2132	13	28	4237	454	340	185	131	253	213	221	404	460	426	425	155	278	218	326	180	326	297	275	68	185	188	49	73	2046	264	73	113	521	357	22	10	13	24	360	383	488	359	430	297	37	1209	254	161	611	28	259	367	290	333	236	287	109	67	200	237	457	430	469	282	194	93	119	96	261	65	568	176	236	266	273
