OTUId	sample_S2-D_Psoil-01	sample_S2-D_Psoil-02	sample_S2-D_Psoil-05	sample_S2-D_Psoil-06	sample_S2-D_Psoil-07	sample_S2-P_PO4-01	sample_S2-P_PO4-02	sample_S2-D_Pmax-01	sample_S2-D_Pmax-03	sample_S2-D_Pmax-06	sample_S2-D_Pmax-07	sample_S2-D_Pmax-09	sample_S2-P_PO4-03	sample_S2-P_PO4-04	sample_S2-D_Ind-02	sample_S2-D_Ind-06	sample_S2-D_Ind-08	sample_S2-D_PO4-01	sample_S2-D_PO4-02	sample_S2-D_PO4-05	sample_S2-D_PO4-06	sample_S2-D_PO4-08	sample_S2-D_PO4-09	sample_S2-D_PO4-10	sample_S2-P_PO4-07	sample_S2-P_Psoil-05	sample_S2-P_PO4-09	sample_S2-P_Ind-05	sample_S2-P_Ind-06	sample_S2-P_Ind-09	sample_S2-P_Ind-10	sample_S2-P_PO4-10	sample_S2-P_Pmax-01	sample_S2-P_Pmax-02	sample_S2-P_Pmax-03	sample_S2-P_Pmax-08	sample_S2-P_Pmax-09	sample_S2-P_Pmax-10	sample_S2-P_Ind-01	sample_S2-P_Ind-04	sample_S2-P_Psoil-06	sample_S2-P_Psoil-07	sample_S2-P_Psoil-08	sample_S2-P_Psoil-09	sample_S2-P_Psoil-10	sample_S2-P_Pmax-04	sample_S2-P_Pmax-05	sample_S2-P_Pmax-06	sample_S2-P_Pmax-07	sample_S2-P_Ind-02	sample_S2-P_Ind-03	sample_S2-P_Ind-07	sample_S2-P_Ind-08	sample_S2-P_Psoil-01	sample_S2-P_Psoil-02	sample_S2-P_Psoil-03	sample_S2-P_Psoil-04	sample_S2-D_Pmax-10	sample_S2-D_Ind-01	sample_S2-D_Ind-03	sample_S2-D_Ind-04	sample_S2-D_Ind-05	sample_S2-D_Ind-07	sample_S2-D_Ind-09	sample_S2-D_Ind-10	sample_S2-P_PO4-05	sample_S2-P_PO4-06	sample_S2-D_PO4-03	sample_S2-D_PO4-04	sample_S2-D_PO4-07	sample_S2-P_PO4-08	sample_S2-D_Psoil-03	sample_S2-D_Psoil-04	sample_S2-D_Psoil-08	sample_S2-D_Psoil-09	sample_S2-D_Psoil-10	sample_S2-D_Pmax-02	sample_S2-D_Pmax-04	sample_S2-D_Pmax-05	sample_S2-D_Pmax-08
OTU_125;size=1590;	42	0	9	3	4	35	34	0	2	4	0	0	36	16	16	46	37	0	2	0	13	0	0	0	22	20	9	36	46	109	100	58	20	43	23	21	53	52	115	66	0	39	12	18	10	8	11	5	39	30	54	36	85	45	5	28	6	0	61	41	21	17	25	91	47	21	21	4	16	0	95	1	30	14	47	32	1	1	8	0
OTU_177;size=1788;	1874	1	0	0	0	0	6	0	1	0	0	0	0	5	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	74	3	86	0	0	0	0	0	0	0	2	2	0	27	55	124	0	0	1	0	1	0	1	73	0	0	0	0	0	0	0	0	0	0	2	0	0	0	4	2	776	0	0	0	0	0	0	0
OTU_22;size=11728;	312	235	265	756	1052	341	476	182	68	62	52	86	216	162	81	103	101	159	120	278	409	189	349	153	132	371	146	25	31	68	52	336	209	102	45	132	103	136	106	43	0	262	131	139	541	32	4	53	149	28	35	19	41	12	313	82	14	130	215	72	61	78	65	175	152	224	420	118	279	317	551	380	463	421	584	404	46	34	86	80
OTU_97;size=2108;	187	17	89	2	2	40	117	15	43	52	8	9	65	48	8	9	33	36	23	54	28	30	51	15	13	2	26	4	2	5	5	43	258	45	118	31	49	68	9	6	0	6	64	48	9	49	62	68	54	1	5	5	5	13	5	18	6	8	44	9	4	7	10	31	25	20	29	20	19	43	85	12	123	0	2	188	61	17	16	10
OTU_255;size=716;	120	2	8	2	4	3	18	8	5	18	5	2	14	3	15	14	6	9	0	11	14	6	28	3	8	21	4	0	0	3	0	4	18	7	0	9	20	24	2	2	0	63	31	16	1	0	0	4	8	0	0	0	1	0	1	14	0	12	22	10	12	7	10	22	15	5	19	4	2	13	29	14	10	0	2	196	6	5	0	5
OTU_85;size=3220;	70	13	5	4	12	286	444	57	9	17	17	14	217	145	9	6	18	60	45	78	120	50	78	28	87	7	104	9	12	10	8	357	59	74	0	76	83	89	37	19	0	2	3	1	8	6	0	20	87	5	5	14	15	1	3	6	1	52	24	13	20	11	9	29	40	147	184	40	53	69	325	40	29	16	15	16	17	21	6	34
OTU_7;size=16051;	2976	16	22	0	0	417	788	6	32	16	0	3	316	261	148	174	238	805	296	529	761	450	528	620	108	23	197	2	0	3	3	383	241	33	82	8	41	44	11	3	1	54	102	1121	3	73	69	85	20	2	4	4	0	6	0	66	9	4	524	183	97	117	197	510	339	234	406	299	474	652	561	10	1693	6	8	739	24	13	2	2
OTU_1411;size=209;	114	0	22	0	1	0	0	15	0	0	1	0	0	0	0	0	0	2	0	4	7	2	0	4	0	0	0	0	0	0	0	0	74	5	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	7	0	7	0	0	0	0	0	0	0	0	0	2	0	1	0	0	151	0	0	0	0	0	0	5
OTU_447;size=677;	634	0	1	0	0	6	7	0	0	0	0	0	2	0	0	0	0	2	0	1	1	0	0	0	5	6	1	0	0	0	0	2	41	3	9	0	1	0	0	0	0	0	0	0	0	17	12	16	0	0	0	0	0	22	28	12	57	0	0	0	2	1	0	0	0	1	1	1	1	0	8	0	294	0	0	1	0	0	0	0
OTU_3674;size=37;	27	5	8	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	8	0	0	0	0	2	0	2
OTU_5429;size=13;	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	4	0	0	0	0	0	0	1	0	0
OTU_206;size=2462;	309	202	47	95	135	75	141	8	5	5	1	1	38	32	9	4	3	90	41	58	89	44	57	104	30	73	28	14	34	46	44	67	67	41	9	30	38	48	63	37	0	129	18	8	70	31	18	31	45	12	30	19	37	26	39	65	4	1	12	2	5	7	6	7	4	58	70	14	43	98	125	369	156	0	0	14	6	5	15	0
OTU_2737;size=39;	2	2	0	1	0	0	1	3	0	1	0	1	0	0	0	1	6	0	1	0	10	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	2	0	0	0	0	0	3	1	1	0	0	5	2	0	0	4	0	0	0	0	0	0	0	6	5	1	0	0
OTU_17;size=22949;	1157	231	299	7	12	295	513	160	308	234	41	45	255	156	61	61	128	1010	276	322	399	228	285	714	70	29	118	7	12	14	9	282	220	208	120	136	168	208	11	16	1	56	81	248	9	62	47	63	200	6	7	7	6	41	3	25	13	109	216	82	45	38	83	199	139	141	241	232	314	330	380	299	513	6	8	1629	269	119	70	69
OTU_594;size=694;	194	22	21	0	0	39	50	2	0	2	0	0	39	12	1	5	10	18	2	10	2	2	1	25	1	5	11	5	0	11	11	30	85	14	13	5	11	18	3	5	0	16	14	7	11	6	19	0	11	5	5	0	3	47	5	24	33	1	12	3	1	0	6	22	18	27	31	6	5	0	20	31	34	5	1	42	14	6	3	8
OTU_10075;size=39;	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0
OTU_13620;size=80;	268	136	312	3	2	503	887	47	116	90	13	25	423	312	23	23	24	453	136	167	267	172	173	338	163	33	210	11	15	23	10	555	206	344	47	288	441	444	21	20	0	140	186	358	4	51	91	95	464	2	8	11	23	11	1	12	18	52	51	13	8	18	15	39	26	316	462	125	184	154	670	211	572	0	3	78	117	54	26	33
OTU_183;size=2310;	317	37	107	0	1	94	47	16	154	221	11	3	19	24	11	16	35	94	34	73	31	32	61	121	27	8	16	1	2	4	4	64	96	31	0	42	38	46	3	6	0	13	14	7	0	0	6	32	35	3	8	5	3	3	0	86	22	6	65	15	16	4	31	71	31	28	56	36	93	114	83	74	241	0	2	74	282	72	58	9
OTU_1663;size=132;	112	0	0	0	0	2	2	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	1	1	3	0	0	0	0	3	0	0	1	0	0	1	6	0	0	0	0	8	0	2	0	0	0	0	1	1	0	3	0	0	0	0	0	1	2	3	0	0	0	0	6	75	1	0	0	0	0	0	0
OTU_887;size=419;	36	4	0	0	0	8	16	0	0	5	0	4	6	2	9	23	21	8	6	11	21	0	1	2	1	1	4	12	16	36	17	5	1	3	1	5	12	37	28	25	0	0	0	2	0	0	0	0	5	13	21	9	24	3	0	42	0	0	20	17	12	5	5	23	17	5	14	3	3	29	22	9	7	0	0	0	1	4	0	0
OTU_2657;size=57;	8	0	0	0	0	0	0	3	0	1	1	1	0	0	0	0	0	2	2	2	7	0	10	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	1	0	0	0	1	1	0	0	5	3	1	0	0	0	0	0	16	6	1	0	0
