OTUId	sample_S2-D_Psoil-01	sample_S2-D_Psoil-02	sample_S2-D_Psoil-05	sample_S2-D_Psoil-06	sample_S2-D_Psoil-07	sample_S2-P_PO4-01	sample_S2-P_PO4-02	sample_S2-D_Pmax-01	sample_S2-D_Pmax-03	sample_S2-D_Pmax-06	sample_S2-D_Pmax-07	sample_S2-D_Pmax-09	sample_S2-P_PO4-03	sample_S2-P_PO4-04	sample_S2-D_Ind-02	sample_S2-D_Ind-06	sample_S2-D_Ind-08	sample_S2-D_PO4-01	sample_S2-D_PO4-02	sample_S2-D_PO4-05	sample_S2-D_PO4-06	sample_S2-D_PO4-08	sample_S2-D_PO4-09	sample_S2-D_PO4-10	sample_S2-P_PO4-07	sample_S2-P_Psoil-05	sample_S2-P_PO4-09	sample_S2-P_Ind-05	sample_S2-P_Ind-06	sample_S2-P_Ind-09	sample_S2-P_Ind-10	sample_S2-P_PO4-10	sample_S2-P_Pmax-01	sample_S2-P_Pmax-02	sample_S2-P_Pmax-03	sample_S2-P_Pmax-08	sample_S2-P_Pmax-09	sample_S2-P_Pmax-10	sample_S2-P_Ind-01	sample_S2-P_Ind-04	sample_S2-P_Psoil-06	sample_S2-P_Psoil-07	sample_S2-P_Psoil-08	sample_S2-P_Psoil-09	sample_S2-P_Psoil-10	sample_S2-P_Pmax-04	sample_S2-P_Pmax-05	sample_S2-P_Pmax-06	sample_S2-P_Pmax-07	sample_S2-P_Ind-02	sample_S2-P_Ind-03	sample_S2-P_Ind-07	sample_S2-P_Ind-08	sample_S2-P_Psoil-01	sample_S2-P_Psoil-02	sample_S2-P_Psoil-03	sample_S2-P_Psoil-04	sample_S2-D_Pmax-10	sample_S2-D_Ind-01	sample_S2-D_Ind-03	sample_S2-D_Ind-04	sample_S2-D_Ind-05	sample_S2-D_Ind-07	sample_S2-D_Ind-09	sample_S2-D_Ind-10	sample_S2-P_PO4-05	sample_S2-P_PO4-06	sample_S2-D_PO4-03	sample_S2-D_PO4-04	sample_S2-D_PO4-07	sample_S2-P_PO4-08	sample_S2-D_Psoil-03	sample_S2-D_Psoil-04	sample_S2-D_Psoil-08	sample_S2-D_Psoil-09	sample_S2-D_Psoil-10	sample_S2-D_Pmax-02	sample_S2-D_Pmax-04	sample_S2-D_Pmax-05	sample_S2-D_Pmax-08
OTU_3481;size=43;	2	1	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	3	5	8	13	4	0	5	8	0	4	12	9	7	4	0	0	0	0	0	0	0	0	0	1	11	1	7	0	0	0	0	0	5	0	0	0	0	0	0	6	1	2	0	0	0	0	0	0	0	0	0	0	0	0
OTU_2328;size=60;	1	0	4	2	1	0	0	0	0	3	1	0	0	0	0	0	0	20	5	0	1	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	2	0	10	18	4	0	0	0	0
OTU_3280;size=54;	1	0	0	0	0	6	3	0	0	0	0	0	7	2	0	0	0	0	0	0	0	0	0	0	0	0	0	6	2	2	3	6	0	7	0	5	3	6	9	4	0	0	0	0	0	0	0	0	1	1	1	0	4	2	0	5	4	0	0	0	0	0	0	0	0	0	4	0	0	0	3	0	0	0	0	1	0	0	0	0
OTU_3063;size=110;	1	4	0	2	0	0	4	24	0	0	3	2	1	0	3	3	9	33	4	6	7	0	0	12	0	0	0	7	1	6	2	0	1	12	0	0	7	5	12	4	0	0	0	0	0	0	0	0	0	6	9	2	9	0	0	5	0	15	27	11	4	5	8	17	9	0	2	0	1	5	3	6	0	3	3	0	0	2	2	8
OTU_5860;size=69;	2	6	0	0	1	0	3	0	0	8	1	0	2	0	2	5	0	0	1	2	0	0	4	1	0	0	0	0	3	5	2	0	0	0	0	0	1	3	17	1	0	0	2	0	0	0	0	6	0	5	3	0	0	3	0	6	0	1	7	10	9	1	1	16	8	0	0	1	5	0	0	4	5	3	0	0	2	5	0	5
OTU_4528;size=20;	2	0	0	1	1	2	7	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0	1	0	0	0	0	0	0
OTU_10517;size=4;	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_2662;size=43;	1	0	0	2	0	5	12	0	0	1	0	0	1	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	4	11	0	0	0	1	0	0	2	0	0	2	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	1	0	0	1	0	1	2	0	0	0	2	0	1	0	0	0	0	0	0	0
OTU_2038;size=67;	1	2	0	1	2	10	24	0	0	3	0	2	10	7	0	1	0	0	0	2	0	1	0	0	3	0	2	0	0	1	0	9	1	1	0	0	0	0	2	0	0	0	1	3	4	0	0	0	10	0	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	4	3	0	0	0	4	0	0	0	4	0	2	0	0	0
OTU_951;size=220;	1	0	3	3	5	9	1	9	0	0	0	8	4	2	4	1	4	0	1	1	3	1	12	0	2	0	0	2	3	11	1	9	3	12	3	1	8	12	4	5	0	2	0	0	0	0	10	1	2	2	8	7	6	1	0	0	1	25	18	15	0	8	5	12	4	0	0	4	4	14	3	2	1	2	3	30	1	0	0	6
OTU_5542;size=12;	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	7	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
OTU_10675;size=8;	1	0	2	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
OTU_14490;size=2;	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
OTU_744;size=230;	1	2	0	0	0	0	0	15	2	2	2	4	0	0	2	3	2	6	2	19	23	39	11	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	8	4	0	0	0	3	2	0	0	9	2	1	0	3	0	45	93	1	2	0	0	13
OTU_830;size=257;	1	0	0	0	4	0	0	19	0	2	5	5	0	0	2	5	8	14	1	28	63	0	22	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	8	11	13	2	6	1	11	12	0	0	0	21	6	0	0	3	40	67	6	4	3	1	2
OTU_1656;size=101;	3	5	0	1	1	1	0	13	0	1	1	6	0	0	4	1	5	2	0	0	3	0	0	8	0	1	2	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	3	0	0	0	7	10	1	0	3	9	8	7	0	2	0	7	0	0	1	3	15	20	0	0	0	3	2
OTU_5339;size=28;	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	3	5	0	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	5	4	0	1	1	0	1	0	1	2	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
OTU_6737;size=9;	1	0	0	0	0	4	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_2683;size=42;	3	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	4	1	1	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	3	0	1	1	1	0	0	2	0	3	0	1	0	12	28	0	0	0	0	1
OTU_2435;size=45;	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	2	0	0	0	0	1	0	0	1	4	12	10	0	0	0	0	2	0	0	8	6	0	0	0	0	0	0	2	0	4	5	8	5	6	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_4835;size=18;	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	2	0	0	0	0	0	0	1	4	0	0	0	5	0	0	0	1	0	2	0
OTU_1769;size=118;	1	0	0	0	0	1	0	0	0	0	0	0	1	0	1	1	3	0	0	0	0	0	2	0	0	0	0	4	7	14	9	3	32	7	0	3	0	3	23	11	0	0	1	0	0	0	0	0	0	2	15	10	17	0	0	5	0	0	6	3	1	0	1	10	2	0	2	0	0	0	0	1	0	0	0	4	0	0	0	0
OTU_10609;size=13;	3	0	1	0	3	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	1	3	0	0	0	0	0	0
OTU_1399;size=239;	1	1	1	0	2	0	1	10	0	0	0	0	2	1	3	1	2	4	1	4	12	7	7	9	0	2	1	0	0	1	2	4	2	4	0	8	0	5	5	0	0	2	3	17	4	0	0	8	11	2	1	2	0	25	0	4	1	2	6	5	1	1	0	6	0	1	2	3	6	4	9	2	0	34	76	13	0	0	0	0
OTU_8721;size=10;	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	2	5	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_874;size=241;	1	0	0	0	0	0	0	23	2	0	2	1	0	0	9	13	18	4	0	4	7	0	3	11	0	5	0	0	0	4	0	0	2	7	0	13	2	21	3	1	0	0	2	1	0	0	0	0	9	0	1	2	0	0	0	0	1	24	37	17	2	7	10	31	25	0	2	4	12	0	0	0	0	0	2	0	1	1	0	7
OTU_4725;size=16;	1	1	3	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	3	1	1	0	3	1	0	0	0	0	0	0	2	2	0	0	0	0	0	0	1
OTU_3800;size=57;	1	0	0	9	8	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	35	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	2	1	0	0	0	0	0	1	0	0	0	0	18	0	0	0	6	12	0	2	0	0	1
OTU_1882;size=72;	1	3	0	0	0	0	5	2	0	2	0	1	0	2	0	0	3	0	0	0	0	0	0	0	1	0	2	1	0	0	5	2	0	2	2	2	15	3	0	0	0	0	0	0	1	0	0	0	11	3	5	2	6	3	0	0	0	3	3	1	0	1	1	0	1	4	1	0	6	2	6	0	0	0	5	0	0	0	0	1
OTU_14987;size=2;	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1438;size=123;	2	5	1	0	0	1	5	0	4	3	0	0	8	0	0	0	2	0	0	0	0	0	0	0	0	0	9	0	0	1	0	3	47	16	27	0	1	8	0	0	0	2	0	1	0	2	0	8	6	0	0	2	0	11	0	12	1	0	0	0	0	0	0	1	0	9	8	0	0	0	0	6	10	0	0	3	4	1	1	0
OTU_7103;size=8;	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	6	0	0	0	0	0
OTU_3814;size=35;	1	0	3	0	0	0	1	1	0	0	0	2	0	3	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	1	1	0	1	0	6	6	0	4	0	0	0	2	0	0	0	0	0	0	1	2	1	5	0	0	0	0	0	0	0	0	0	0	3	0	2	0	0	5	0	0	0	2	0	0	8	0	0	0	0
OTU_13309;size=2;	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_15642;size=2;	1	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0
OTU_742;size=303;	1	0	0	145	205	0	0	0	0	0	0	0	0	0	3	0	0	0	0	6	8	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	76	0	0	0	0	0	0	0	0	2	53	0	0	0	0	0	0	0	0	0	0	5	0	0	6	0	0	0	1	0	0	7	0	0	26	0
OTU_150;size=1330;	1	2	0	0	0	42	53	0	0	0	0	0	23	17	0	0	0	0	0	0	0	2	0	0	7	15	27	69	63	130	114	31	112	43	8	28	51	75	227	109	0	20	12	6	2	13	13	31	42	42	74	60	91	3	4	8	20	0	0	0	0	0	0	0	0	7	23	0	0	0	65	0	0	0	4	0	1	0	0	0
OTU_13763;size=4;	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
OTU_4823;size=35;	1	0	0	0	0	1	0	2	0	2	0	2	1	1	0	0	0	1	0	0	0	2	0	0	0	0	0	0	2	4	6	0	0	0	0	1	2	1	8	4	0	0	0	0	1	0	0	4	0	2	2	6	6	0	0	0	0	1	2	0	0	0	1	2	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0
OTU_3393;size=31;	1	13	0	2	7	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	5	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0
OTU_14208;size=2;	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_2174;size=63;	2	0	0	0	0	0	0	1	5	4	0	0	0	0	0	0	0	0	6	18	9	16	5	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	11	11	0	0	0	0	0	0	5	4	2	0	0
OTU_9263;size=5;	2	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
OTU_2547;size=59;	1	0	0	0	0	1	2	0	0	0	1	1	2	3	2	1	3	3	2	0	6	0	0	0	0	0	0	0	0	2	4	0	2	6	0	3	7	0	6	4	0	0	0	0	0	0	0	0	8	0	3	3	0	0	0	0	0	0	7	0	0	0	2	2	4	0	3	0	0	1	0	0	0	5	1	0	1	0	0	1
OTU_14523;size=2;	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_10392;size=4;	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
OTU_7334;size=14;	5	0	0	0	0	3	2	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	1	0	0	1	0	0	3	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	6	0	0	0	0
OTU_3007;size=59;	3	0	2	1	0	0	4	14	0	0	13	1	0	0	1	1	3	4	0	0	2	0	0	7	2	0	0	0	0	1	0	0	0	5	0	2	4	2	0	3	0	0	0	0	1	0	0	0	2	0	2	2	0	0	0	2	0	8	0	1	2	0	1	1	0	0	0	1	0	0	3	0	2	0	0	0	0	0	0	8
OTU_2141;size=129;	2	0	0	0	8	0	2	10	0	3	1	9	0	2	4	0	4	33	5	11	1	3	0	5	2	1	0	0	3	3	1	0	0	0	0	0	0	0	8	2	0	0	2	0	1	0	0	0	0	0	2	1	4	0	1	0	0	17	0	3	0	0	2	5	6	0	3	19	1	0	0	1	0	1	6	0	0	1	2	5
OTU_1040;size=250;	2	0	0	0	0	7	0	0	0	0	0	0	0	2	10	16	9	6	0	10	0	7	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	7	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	0	3	26	13	5	8	2	17	9	2	0	0	3	3	0	0	1	106	126	3	0	0	0	1
OTU_1365;size=117;	2	0	0	0	0	0	0	0	0	4	1	5	0	0	4	12	20	0	0	2	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	4	0	0	1	2	0	0	0	17	38	4	6	1	8	29	14	0	0	1	0	0	0	0	0	0	1	5	0	0	0	1
OTU_4201;size=26;	2	0	0	1	0	2	2	6	0	0	0	1	0	0	2	0	2	0	0	0	1	0	0	0	0	0	0	1	0	4	1	0	0	0	0	6	0	4	7	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	1	1	0	0	0	4	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0
OTU_6137;size=30;	1	0	0	0	0	0	0	0	5	5	0	0	0	0	0	2	0	0	2	0	6	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	2	0	2	0	0	0	0	0	0	4	2	2	2	3	17	2	0	0
OTU_3047;size=42;	1	0	0	0	0	5	17	0	1	4	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	7	0	0	0	1
OTU_4841;size=42;	1	0	0	0	0	0	0	1	0	0	0	0	0	0	2	1	1	5	0	13	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	7	2	1	4	1	5	2	0	0	0	2	7	0	1	1	0	0	5	0	0	0	0
OTU_771;size=296;	2	0	0	0	0	4	31	4	7	25	0	2	26	7	1	3	2	24	0	2	4	1	2	17	0	0	2	1	0	5	4	10	55	32	34	14	23	18	3	1	0	0	0	0	0	0	23	28	21	1	2	0	1	0	0	1	1	10	2	0	0	0	3	7	3	6	5	0	6	0	7	0	0	0	0	3	29	6	7	1
OTU_7786;size=16;	1	0	2	3	0	0	0	0	0	0	0	0	2	4	0	0	0	0	0	0	0	0	0	0	0	5	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_8789;size=9;	1	0	0	0	0	3	1	0	0	0	0	0	1	1	3	0	1	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	4	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
OTU_120;size=2155;	1	1	0	902	1226	0	0	0	0	0	0	0	0	0	1	2	2	0	0	0	10	5	0	0	1	338	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	1	4	571	0	0	0	0	0	0	0	0	0	304	9	1	0	0	2	0	1	0	0	7	7	0	0	1	0	0	0	0	0	0	0	0	3	0	0
OTU_801;size=241;	2	12	6	0	2	1	2	2	2	0	0	4	0	3	6	7	5	3	1	11	26	12	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	7	3	0	0	0	6	0	4	0	3	0	0	0	0	0	1	4	10	0	3	4	3	6	2	0	1	4	15	16	1	5	1	37	108	2	0	0	1	5
OTU_1447;size=101;	2	12	1	0	3	0	1	9	1	0	3	1	0	0	0	2	1	20	1	9	9	6	4	12	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	2	5	5	0	1	0	2	2	0	0	3	0	0	0	10	1	1	6	2	1	0	0	3
OTU_9833;size=8;	2	0	7	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	1	1	0	5	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	7	1	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	1	0	0	0	0	0	1	0
OTU_2735;size=41;	1	0	2	0	0	0	3	0	0	0	0	0	4	0	0	0	0	6	0	0	0	8	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	4	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	2	2	0	0	0	5	3	0	0
OTU_6799;size=16;	1	0	0	1	1	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	8	0	1	0	0	0	0	2	0	0	0	0	4	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	1	0	0	0	4	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	1	0
OTU_9733;size=12;	1	0	0	0	1	8	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_4688;size=16;	1	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	4	0	0	0	1	2	3	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
OTU_4933;size=15;	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	5	0	0	0	0	1	11	0	0	0	0
OTU_2426;size=122;	1	7	1	0	0	16	12	0	9	0	0	0	3	2	0	0	0	5	0	0	4	0	0	15	1	7	3	0	0	1	0	5	1	8	3	4	27	22	1	0	0	11	0	0	0	6	1	0	9	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	3	6	0	7	0	7	3	0	0	0	0	6	3	1	0
OTU_4830;size=20;	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	3	0	1	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	2	0	3	0	0	0	2	4	0	0	0
OTU_14146;size=2;	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1671;size=80;	1	5	0	1	3	13	0	3	1	0	1	0	0	3	0	2	0	10	0	3	6	9	0	0	0	2	0	0	1	2	2	5	0	5	1	1	5	11	1	2	0	0	1	0	3	0	0	0	0	0	0	0	1	3	1	5	4	1	0	0	0	1	0	0	0	2	1	3	5	0	2	1	2	4	10	0	0	0	0	0
OTU_6645;size=13;	1	4	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	3	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	4	1	0	0	0
OTU_1189;size=126;	1	1	0	0	0	0	0	18	0	0	0	3	0	0	13	25	23	0	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	3	0	0	7	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	25	13	4	2	7	19	16	0	0	0	0	0	0	3	0	0	0	0	0	0	0	3
OTU_14647;size=2;	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
